Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
#Scuole Nuove - Sblocco Patto Province / Città Metropolitane 2015 -  L. 190/2014 art. 1 c. 467|Piemonte|Torino|Carmagnola|001059|Amministrazione provinciale|2016-06-20|2015-04-15|2016-01-09|Citt� Metropolitana di Torino|CITTAMETROPOLITANA|0010590018|TOIS008006|TOIS008006|I.I.S. BALDESSANO-ROCCATI|||No|44.848720|7.717213|Manutenzione straordinaria. riqualificazione e/o rigenerazione , Messa in sicurezza|Concluso|j45d13000060001|590285,1200|254786,0400
#Scuole Nuove - Sblocco Patto Province / Città Metropolitane 2015 -  L. 190/2014 art. 1 c. 467|Piemonte|Torino|Grugliasco|001120|Amministrazione provinciale|2016-02-02|2015-03-03|2015-06-01|Citt� Metropolitana di Torino|CITTAMETROPOLITANA|0011200023|TOIS03400P|TOIS03400P|I.I.S. CURIE - VITTORINI|||No|45.050316|7.608978|Manutenzione straordinaria. riqualificazione e/o rigenerazione , Messa in sicurezza|Concluso|j18g12000230003|115810,0000|49987,3200
#Scuole Nuove - Sblocco Patto Province / Città Metropolitane 2015 -  L. 190/2014 art. 1 c. 467|Piemonte|Torino|Moncalieri|001156|Amministrazione provinciale|2016-06-20|2015-04-16|2016-04-10|Citt� Metropolitana di Torino|CITTAMETROPOLITANA|0011560027|TOTF04000D|TOTF04000D|G.B.PININFARINA|||No|45.013338|7.661973|Manutenzione straordinaria. riqualificazione e/o rigenerazione , Messa in sicurezza|Concluso|j25d13000070001|891978,9300|385006,8000
#Scuole Nuove - Sblocco Patto Province / Città Metropolitane 2015 -  L. 190/2014 art. 1 c. 467|Piemonte|Torino|Nichelino|001164|Amministrazione provinciale|2016-06-20|2015-04-15|2015-12-31|Citt� Metropolitana di Torino|CITTAMETROPOLITANA|0011640021|TOIS03600A|TOIS03600A|I.I.S. E. DA ROTTERDAM|||No|45.002241|7.638286|Manutenzione straordinaria. riqualificazione e/o rigenerazione , Messa in sicurezza|Concluso|J15D13000150001|836060,2400|360870,4900
#Scuole Nuove - Sblocco Patto Province / Città Metropolitane 2015 -  L. 190/2014 art. 1 c. 467|Piemonte|Torino|Torino|001272|Amministrazione provinciale|2016-06-20|2014-05-22|2015-10-14|Citt� Metropolitana di Torino|CITTAMETROPOLITANA|0012720268|TOIS058007|TOIS058007|I.I.S. SANTORRE DI SANTAROSA|||No|45.067950|7.641954|Efficientamento energetico|Concluso|J16E09000330006|570078,4200|246064,1800
#Scuole Nuove - Sblocco Patto Province / Città Metropolitane 2015 -  L. 190/2014 art. 1 c. 467|Piemonte|Torino|Torino|001272|Amministrazione provinciale|2016-06-20|2014-06-09|2016-02-28|Citt� Metropolitana di Torino|CITTAMETROPOLITANA|0012720257|TOPS340002|TOPS340002|LS  P. GOBETTI|||No|45.059449|7.707034|Manutenzione straordinaria. riqualificazione e/o rigenerazione , Messa in sicurezza|Concluso|j11h13000570001|391897,8700|169155,7200
#Scuole Nuove - Sblocco Patto Province / Città Metropolitane 2015 -  L. 190/2014 art. 1 c. 467|Piemonte|Torino|Torino|001272|Amministrazione provinciale|2016-02-02|2015-04-01|2015-11-30|Citt� Metropolitana di Torino|CITTAMETROPOLITANA|0012190001|TOPS10000T|TOPS10000T|CHARLES DARWIN|||No|45.066677|7.503079|Manutenzione straordinaria. riqualificazione e/o rigenerazione|Concluso|J26E10000110008|600000,0000|225129,4200
#Scuole Nuove - Sblocco Patto Province / Città Metropolitane 2015 -  L. 190/2014 art. 1 c. 467|Piemonte|Vercelli|Varallo|002156|Amministrazione provinciale|2015-01-15|2014-05-29|2014-12-30|Provincia di VERCELLI|PROVINCIA|0012190001|VCRH040008|VCRH040008|G. PASTORE|||No|45.819342|8.249178|Messa in sicurezza , Adeguamento impiantistica e/o antincendio|Concluso|D46E12000580004|500000,0000|50662,2500
#Scuole Nuove - Sblocco Patto Province / Città Metropolitane 2015 -  L. 190/2014 art. 1 c. 467|Piemonte|Vercelli|Vercelli|002158|Amministrazione provinciale|2016-06-20|2014-01-21|2014-11-28|Provincia di VERCELLI|PROVINCIA|0021580021|VCIS01900Q|VCIS01900Q|FRANCIS LOMBARDI|||No|45.327054|8.414875|Messa in sicurezza , Adeguamento impiantistica e/o antincendio , Conseguimento certificazioni (opere escluse)|Concluso|D66E12000890004|600000,0000|60794,7000
#Scuole Nuove - Sblocco Patto Province / Città Metropolitane 2015 -  L. 190/2014 art. 1 c. 467|Piemonte|Vercelli|Vercelli|002158|Amministrazione provinciale|2015-01-15|2014-09-11|2015-01-08|Provincia di VERCELLI|PROVINCIA|0021580029|VCIS01300R|VCRC01301Q|I.P.SERVIZI COMM. B.LANINO |||No|45.327448|8.421677|Manutenzione straordinaria. riqualificazione e/o rigenerazione , Messa in sicurezza , Efficientamento energetico|Concluso|D66D1300037000|110000,0000|11145,6900
