Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Lazio|Frosinone|Arpino|060010|Dipartimento Protezione Civile|2017-07-13|||Comune di Arpino|COMUNE|0600100292|FRIC82900R|FRAA82904R|ARPINO PAGNANELLI INF.|Infanzia - Pagnanelli||No|41.68340|13.611128|Adeguamento|Cantiere aperto||0,0000|382500,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Molise|Campobasso|Baranello|070002|Dipartimento Protezione Civile|2017-07-13|||Comune di Baranello|COMUNE|||||||Si|41.526243|14.559656|Nuova costruzione|Cantiere aperto||0,0000|284945,6100
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Campania|Salerno|Castel San Giorgio|065034|Dipartimento Protezione Civile|2017-07-13|||Comune di Castel San Giorgio|COMUNE|0650340870|SAIC84700L|SAEE84702Q|AIELLO CAMPOMANFOLI|||No|40.787853|14.70569|Adeguamento|Cantiere aperto||0,0000|726210,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Sicilia|Trapani|Castelvetrano|081006|Dipartimento Protezione Civile|2017-07-13|||Comune di Castelvetrano|COMUNE|||||||Si|37.679021|12.791719|Adeguamento|Concluso||0,0000|150000,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Sicilia|Trapani|Castelvetrano|081006|Dipartimento Protezione Civile|2017-07-13|||Comune di Castelvetrano|COMUNE|||||||Si|37.679077|12.791787|Adeguamento|Concluso||0,0000|75000,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Calabria|Catanzaro|Catanzaro|079023|Regione|2017-11-15|2011-06-02|2012-05-25|Comune di Catanzaro|COMUNE|||||||Si|38.905170|16.595455|Adeguamento|Concluso|D68G10000150004|0,0000|200000,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Basilicata|Matera|Gorgoglione|077010|Regione e Task Force|2017-12-12|||Comune di Gorgoglione|COMUNE||MTIC81100R|MTAA81105T|VIA IV NOVEMBRE (GORGOGLIONE)|Infanzia - Via IV Novembre  ||Si|40.395924|16.145144|Adeguamento|Concluso|G66E11000480002|0,0000|297500,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Lazio|Frosinone|Isola del Liri|060043|Dipartimento Protezione Civile|2017-07-13|||Comune di Isola del Liri|COMUNE|0600430154|FRIC83200L|FRAA83210X|STAZIONE|Infanzia - Stazione||No|41.6823888|13.5811944|Adeguamento|Concluso||0,0000|231075,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Lazio|Frosinone|Isola del Liri|060043|Dipartimento Protezione Civile|2017-07-13|||Comune di Isola del Liri|COMUNE|||||||Si|41.678056|13.573639|Adeguamento|Cantiere aperto||0,0000|605000,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Lazio|Rieti|Leonessa|057033|Dipartimento Protezione Civile|2017-07-13|||Comune di Leonessa|COMUNE|||||||Si|42.598986|12.953202|Adeguamento|Concluso||0,0000|116160,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Umbria|Perugia|Marsciano|054027|Dipartimento Protezione Civile|2017-07-13|||Comune di MARSCIANO|COMUNE|||||||Si|42.910891|12.337686|Adeguamento|Concluso||0,0000|558360,4300
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Veneto|Treviso|Montebelluna|026046|Dipartimento Protezione Civile|2017-07-13|||Comune di Montebelluna|COMUNE|0260462957|TVIC883004|TVAA883011|L`Aquilone|L`Aquilone||Si|45.776301|12.045186|Adeguamento|Concluso||0,0000|186579,6000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Campania|Napoli|Napoli|063049|Dipartimento Protezione Civile|2017-07-13|||Comune di Napoli|COMUNE||NA1A413001|NA1A413001||||Si|40.834735|14.245154|Adeguamento|In approvazione||0,0000|85680,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Campania|Napoli|Napoli|063049|Dipartimento Protezione Civile|2017-07-13|||Comune di Napoli|COMUNE||NA1A413001|NA1A413001||||Si|40.834638|14.245217|Adeguamento|In approvazione||0,0000|116966,6700
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Sicilia|Messina|Naso|083060|Dipartimento Protezione Civile|2017-07-13|||Comune di Naso|COMUNE|||||||Si|38.123312|14.788202|Adeguamento|Concluso||0,0000|497250,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Calabria|Cosenza|San Giovanni in Fiore|078119|Regione|2017-11-15|2012-05-30|2013-02-11|Comune di San Giovanni in Fiore|COMUNE|0781190694|CSIC8AX00G|CSEE8AX01N|S.GIOV. IN F. "ALIGHIERI" IC|S.GIOV. IN F. IC D. ALIGHIERI||No|39.255231|16.695609|Adeguamento|Concluso||0,0000|335000,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Calabria|Cosenza|San Giovanni in Fiore|078119|Regione|2017-11-15|2012-06-05|2013-06-03|Comune di San Giovanni in Fiore|COMUNE|0781190351||||||Si|39.252309|16.700174|Adeguamento|Concluso||0,0000|320000,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Sicilia|Catania|Camporotondo Etneo|087012|Dipartimento Protezione Civile|2017-07-13|||Comune di Camporotondo Etneo|COMUNE|0870122605|CTIC85300T|CTMM85302X|SECONDARIA I GRADO P. MARCONI|||No|37.567279|15.006098|Adeguamento|Concluso||0,0000|108000,0000
Adeguamento Sismico - Dipartimento Protezione Civile -  D.L. 269 30 settembre 2003 art. 32 bis|Sicilia|Catania|Ramacca|087037|Dipartimento Protezione Civile|2017-07-13|||Comune di Ramacca|COMUNE|||||||Si|37.391485|14.692693|Adeguamento|Concluso||0,0000|537240,0000
