Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
Commissario Straordinario Ricostruzione Sisma 2016 - Ordinanza n. 14 del 31 gennaio 2017|Lazio|Rieti|Accumoli|057001|Ordinanza Commissario Strordinario Ricostruzione Sisma 2016 n. 14 del 16 gennaio 2017|2017-09-01|||Accumoli|COMUNE|||||||No|42.696054|13.24354|Nuova Costruzione|In approvazione|J67E17000020001|1334989,5800|1334989,5800
Commissario Straordinario Ricostruzione Sisma 2016 - Ordinanza n. 14 del 31 gennaio 2017|Marche|Macerata|Caldarola|043006|Ordinanza Commissario Strordinario Ricostruzione Sisma 2016 n. 14 del 16 gennaio 2017 - Donazione chiavi in mano LegaCoop|2017-09-01|||Caldarola|COMUNE||||||Donazione chiavi in mano LegaCoop - importo stimato dato in aggiornamento per completamento della progettazione|No|43.140305|13.224191|Nuova Costruzione|In approvazione||2700000,0000|2700000,0000
Commissario Straordinario Ricostruzione Sisma 2016 - Ordinanza n. 14 del 31 gennaio 2017|Marche|Macerata|Camerino|043007|Ordinanza Commissario Strordinario Ricostruzione Sisma 2016 n. 14 del 16 gennaio 2017|2017-09-01|||Camerino|COMUNE||||||progetto in verifica ex art. 26 del D.lgs. 18 aprile 2016 n. 50|No|43.145064|13.065319|Nuova Costruzione|In approvazione||6157594,2800|6157594,2800
Commissario Straordinario Ricostruzione Sisma 2016 - Ordinanza n. 14 del 31 gennaio 2017|Abruzzo|Teramo|Crognaleto|067023|Ordinanza Commissario Strordinario Ricostruzione Sisma 2016 n. 14 del 16 gennaio 2017 - Donazione chiavi in mano Regione Emilia Romagna|2017-09-01|||Crognaleto|COMUNE||||||Donazione chiavi in mano Regione Emilia Romagna - importo stimato dato in aggiornamento per completamento della progettazione|Si|42.553789|13.465724|Nuova Costruzione|In approvazione||650000,0000|650000,0000
Commissario Straordinario Ricostruzione Sisma 2016 - Ordinanza n. 14 del 31 gennaio 2017|Marche|Ancona|Fabriano|042017|Ordinanza Commissario Strordinario Ricostruzione Sisma 2016 n. 14 del 16 gennaio 2017|2017-09-01|||Fabriano|COMUNE|||||||No|43.336085|12.912166|Nuova Costruzione|Cantiere aperto|J97B17000360005|1215816,3300|1215816,3300
Commissario Straordinario Ricostruzione Sisma 2016 - Ordinanza n. 14 del 31 gennaio 2017|Marche|Fermo|Falerone|109005|Ordinanza Commissario Strordinario Ricostruzione Sisma 2016 n. 14 del 16 gennaio 2017|2017-09-01|||Falerone|COMUNE|||||||No|43.094517|13.498417|Nuova Costruzione|In approvazione|J57E17000010001|3290456,9700|3290456,9700
Commissario Straordinario Ricostruzione Sisma 2016 - Ordinanza n. 14 del 31 gennaio 2017|Marche|Fermo|Fermo|109006|Ordinanza Commissario Strordinario Ricostruzione Sisma 2016 n. 14 del 16 gennaio 2017|2017-09-01|||Fermo|COMUNE|||||||No|43.163735|13.711391|Nuova Costruzione|In approvazione|J67E17000300001|6475542,3100|6475542,3100
Commissario Straordinario Ricostruzione Sisma 2016 - Ordinanza n. 14 del 31 gennaio 2017|Marche|Fermo|Fermo|109006|Ordinanza Commissario Strordinario Ricostruzione Sisma 2016 n. 14 del 16 gennaio 2017|2017-09-01|||Fermo|PROVINCIA|||||||No|43.167996|13.735798|Nuova Costruzione|In approvazione|J67E17000010008|1946728,3600|1946728,3600
Commissario Straordinario Ricostruzione Sisma 2016 - Ordinanza n. 14 del 31 gennaio 2017|Umbria|Perugia|Foligno|054018|Ordinanza Commissario Strordinario Ricostruzione Sisma 2016 n. 14 del 16 gennaio 2017|2017-09-01|||Foligno|COMUNE|||||||No|42.958995|12.706447|Nuova Costruzione|In approvazione|J67E17000030001|3853933,2100|3853933,2100
Commissario Straordinario Ricostruzione Sisma 2016 - Ordinanza n. 14 del 31 gennaio 2017|Umbria|Perugia|Giano dell`Umbria|054021|Ordinanza Commissario Strordinario Ricostruzione Sisma 2016 n. 14 del 16 gennaio 2017|2017-09-01|||Giano dell`Umbria|COMUNE|||||||No|42.867702|12.559728|Nuova Costruzione|In approvazione|J97B17000350001|2770415,3300|2770415,3300
