Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
Adeguamento sismico – DL 269/2003 art. 32 bis – DM 943/2015|Abruzzo|Chieti|San Martino sulla Marrucina|069082|MIUR|2017-10-03|||San Martino Sulla Marrucina|COMUNE|0690820093|CHEE03600L|CHAA03607P|S. MARTINO SULLA MARRUCINA CAP.|||No|42.227037|14.212918|Non indicato|Dato in raccolta||0,0000|540000,0000
Adeguamento sismico – DL 269/2003 art. 32 bis – DM 943/2015|Abruzzo|Chieti|Crecchio|069027|MIUR|2017-10-03|||Crecchio|COMUNE|0690270290|CHIC81300T|CHMM81302X|CRECCHIO|||No|42.295587|14.326297|Non indicato|Dato in raccolta||0,0000|772000,0000
Adeguamento sismico – DL 269/2003 art. 32 bis – DM 943/2015|Calabria|Crotone|Petilia Policastro|101017|Regione|2017-11-10|||Petilia Policastro|COMUNE|1010171482|KRIC83200C|KREE83201E|MONS. DOMENICO SISCA||Gli interventi previsti in progetto consistono in:
- rimozione e smaltimento di discendenti in cemento-amianto
- rinforzo elementi strutturali. mediante incamiciatura in c.a. per i pilastri e sistema CAM per le travi
- sostituzione dei serramenti esterni ed interni
- rifacimento impianti elettrici e meccanici
- realizzazione manto di copertura
- installazione impianto fotovoltaico
- rifacimento dei bagni
- miglioramento impianto di illuminazione
- ristrutturazione edile interna ed esterna (tinteggiatura. verniciatura. ripristino muratura. ... ).
|No|39.112956|16.788023||Dato in raccolta|H86J13000630001|0,0000|466259,3500
Adeguamento sismico – DL 269/2003 art. 32 bis – DM 943/2015|Calabria|Catanzaro|Soverato|079137|Regione|2017-11-10|||Soverato|COMUNE|0791370396|CZIC869004|CZEE86906B|VIA A.CASTAGNA IC SOVERATO 1|||No|38.686004|16.547386|Non indicato|Cantiere aperto|I34H16000750001|0,0000|798427,6300
Adeguamento sismico – DL 269/2003 art. 32 bis – DM 943/2015|Calabria|Catanzaro|Cortale|079034|Regione|2017-11-10|||Cortale|COMUNE|0790340587|CZIC84000C|CZEE84001E|Primaria - CORTALE|||No|38.837628|16.409967|Non indicato|Dato in raccolta|B87B13000260005|0,0000|1036397,0500
Adeguamento sismico – DL 269/2003 art. 32 bis – DM 943/2015|Calabria|Reggio di Calabria|Brancaleone|080014|Regione|2017-11-10|||Brancaleone|COMUNE|0800140351|RCIC81000B|RCMM81001C|VIA V.EMANUELE III -BRANCALEONE|||No|37.957016|16.094719|Non indicato|Dato in raccolta|D84H15001940001|0,0000|524295,9800
