Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Abruzzo|L`Aquila|Avezzano|066006|MIUR|2017-10-02|||AVEZZANO|COMUNE|||||||Si|42.035013|13.426457|Nuova Costruzione|Start||0,0000|629370,0000
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Abruzzo|Chieti|San Salvo|069083|MIUR|2017-10-02|||SAN SALVO|COMUNE||CHIC832007|CHEE832019|VIA DE VITO - SAN SALVO|||Si|42.044859|14.731379|Nuova Costruzione|Start||0,0000|2000000,0000
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Abruzzo|Teramo|Giulianova|067025|MIUR|2017-10-02|||GIULIANOVA|PROVINCIA|0670250332|TEIS01100D|TETF011012|I.T.T. VINCENZO CERULLI|||No|42.743007|13.963349|Messa in sicurezza|Start||0,0000|750000,0000
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Abruzzo|Teramo|Campli|067008|MIUR|2017-10-02|||CAMPLI|COMUNE|||||||Si|42.726214|13.686239|Messa in sicurezza|Start||0,0000|650000,0000
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Abruzzo|Pescara|Pescara|068028|MIUR|2017-10-02|||PESCARA|COMUNE|0680280016|PEIC83200Q|PEAA83201L|LEO LIONNI|||No|42.435198|14.237407|Miglioramento Sismico|Start||0,0000|800000,0000
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Abruzzo|Pescara|Caramanico Terme|068007|MIUR|2017-10-02|||CARAMANICO TERME|COMUNE|0680070182|PEIC81000V|EEE810033||||Si|42.157725|14.001456|Adeguamento Sismico|Start||0,0000|205000,0000
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Abruzzo|Pescara|Moscufo|068025|MIUR|2017-10-02|||MOSCUFO|COMUNE|0680250237|PEIC81100P|PEMM81102R|S.M. "G.LEOPARDI" - MOSCUFO|||No|42.426743|14.053524|Efficientamento Energetico|Start||0,0000|99915,5600
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Abruzzo|L`Aquila|Castel di Sangro|066028|MIUR|2017-10-02|||CASTEL DI SANGRO|COMUNE|||||||Si|41.784871|14.108587|Nuova Costruzione|Start||0,0000|1184600,8800
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Campania|Napoli|Procida|063061|MIUR|2017-10-02|||PROCIDA|COMUNE|||||||Si|40.757854|14.016769|Messa in sicurezza|Start||0,0000|1370000,0000
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Campania|Salerno|Tramonti|065151|MIUR|2017-10-02|||TRAMONTI|COMUNE|0651510934|SAIC81100T|SAMM81101V|Sec I - G.Pascoli|||Si|40.694004|14.641309|Adeguamento Sismico|Start||0,0000|1500000,0000
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Campania|Benevento|Foiano di Val Fortore|062031|MIUR|2017-10-02|||FOIANO DI VAL FORTORE|COMUNE|0620310221|BNIC826006|BNAA826057|Infanzia - Via Santa Maria|||Si|41.352043|14.977161|Adeguamento Sismico|Start||0,0000|287500,0000
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Campania|Salerno|San Cipriano Picentino|065118|MIUR|2017-10-02|||SAN CIPRIANO PICENTINO|COMUNE|||||||Si|40.719361|14.869028|Nuova Costruzione|Start||0,0000|1297356,6100
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Campania|Benevento|Bucciano|062010|MIUR|2017-10-02|||BUCCIANO|COMUNE|0620100163|BNIC83800C|BNAA83803B|Primaria - Pastorano |||Si|41.077645|14.567696|Messa in sicurezza|Start||0,0000|995000,0000
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Campania|Salerno|Montano Antilia|065070|MIUR|2017-10-02|||MONTANO ANTILIA|COMUNE|0650700003|SAIC8AM009|SAMM8AM05E|Sec I - Montano Antilia   |||No|40.161416|15.359120|Ristrutturazione|Start||0,0000|1487904,0000
Decreto Mutui BEI seconda annualità - Decreto Interministeriale n. 390 del 6 giugno 2017|Campania|Caserta|Pietramelara|061058|MIUR|2017-10-02|||PIETRAMELARA|COMUNE|0610580366|CEIC8AB009|CEEE8AB01B|PIETRAMELARA-CAPOLUOGO -D.D.-|||No|41.270413|14.188859|Ristrutturazione|Start||0,0000|1499999,3600
