Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
Scuole d'Abruzzo - Il Futuro in Sicurezza - Delibere CIPE 47/2009, 83/2013, 77/2015|Abruzzo|L`Aquila|Carsoli|066025|Ufficio Speciale per la Ricostruzione dei Comuni del Cratere|2017-11-23|||COMUNE DI CARSOLI|COMUNE||AQEE02600L|AQAA02602D|CARSOLI CAP.||PROGETTO SCUOLE D`ABRUZZO EDIFICIO SCOLASTICO DA ADIBIRSI A SCUOLA MEDIA STATALE.PIAZZA DELLA LIBERTA`|Si|42.099201|13.086306|Sostituzione edificio scolastico|In approvazione|B46E12000140003|1980842,0000|1980842,0000
Scuole d'Abruzzo - Il Futuro in Sicurezza - Delibere CIPE 47/2009, 83/2013, 77/2015|Abruzzo|Pescara|Pianella|068030|Ufficio Speciale per la Ricostruzione dei Comuni del Cratere|2017-11-23|||COMUNE DI PIANELLA|COMUNE|||PEEE044015|||RISTRUTURAZIONE - RIPARAZIONE DANNI CAUSATI DAL SISMA DELL`APRILE 2009 SCUOLA ELEMENTARE DI PIANELLA CAPOLUOGO|No|42.397421|14.048807|Miglioramento sismico|Cantiere aperto|B47E11000080001|268500,0000|268500,0000
Scuole d'Abruzzo - Il Futuro in Sicurezza - Delibere CIPE 47/2009, 83/2013, 77/2015|Abruzzo|Pescara|Pianella|068030|Ufficio Speciale per la Ricostruzione dei Comuni del Cratere|2017-11-23|||COMUNE DI PIANELLA|COMUNE|||PEMM81101Q|S.M."P.GIOVANNI XXIII"-PIANELLA||RISTRUTTURAZIONE - RIPARAZIONE DANNI CAUSATI DAL SISMA DELL`APRILE 2009 SCUOLA MEDIA DI PIANELLA CAPOLUOGO|Si|42.397095|14.046815|Miglioramento sismico|Cantiere aperto|B47E11000100001|430000,0000|430000,0000
Scuole d'Abruzzo - Il Futuro in Sicurezza - Delibere CIPE 47/2009, 83/2013, 77/2015|Abruzzo|Pescara|Pianella|068030|Ufficio Speciale per la Ricostruzione dei Comuni del Cratere|2017-11-23|||COMUNE DI PIANELLA|COMUNE|0680300175|PEIC81100P|PEEE81104X|PIANELLA-CERRATINA||RISTRUTTURAZIONE - RIPARAZIONE DANNI CASUATI DAL SISMA DELL`APRILE 2009 - SCUOLA ELEMENTARE DELLA FRAZIONE CERRATINA|No|42.390288|14.098814|Miglioramento sismico|Concluso|B47E11000110001|59900,0000|59900,0000
Scuole d'Abruzzo - Il Futuro in Sicurezza - Delibere CIPE 47/2009, 83/2013, 77/2015|Abruzzo|L`Aquila|Roccacasale|066079|Ufficio Speciale per la Ricostruzione dei Comuni del Cratere|2017-11-23|||COMUNE DI ROCCACASALE|COMUNE||||||MESSA IN SICUREZZA EDIFICIO SCUOLA PRIMARIA|Si|42.122411|13.887818|Miglioramento sismico|In approvazione|B47E13000440001|350000,0000|350000,0000
Scuole d'Abruzzo - Il Futuro in Sicurezza - Delibere CIPE 47/2009, 83/2013, 77/2015|Abruzzo|Pescara|Civitella Casanova|068014|Ufficio Speciale per la Ricostruzione dei Comuni del Cratere|2017-11-23|||COMUNE DI CIVITELLA CASANOVA|COMUNE|||PEAA813017|CIVITELLA CASANOVA-C.U.||MESSA IN SICUREZZA SCUOLA DELL`INFANZIA JANDELLI|Si|42.364519|13.887716|Miglioramento sismico|Concluso|B61E14000040001|335500,0000|335500,0000
Scuole d'Abruzzo - Il Futuro in Sicurezza - Delibere CIPE 47/2009, 83/2013, 77/2015|Abruzzo|Pescara|Civitella Casanova|068014|Ufficio Speciale per la Ricostruzione dei Comuni del Cratere|2017-11-23|||COMUNE DI CIVITELLA CASANOVA|COMUNE||||||MESSA IN SICUREZZA SCUOLA MEDIA B. CROCE E PALESTRA|Si|42.364083|13.886010|Sostituzione edificio scolastico|In approvazione|B61E14000090001|1164500,0000|1164500,0000
Scuole d'Abruzzo - Il Futuro in Sicurezza - Delibere CIPE 47/2009, 83/2013, 77/2015|Abruzzo|Pescara|Tocco da Casauria|068042|Ufficio Speciale per la Ricostruzione dei Comuni del Cratere|2017-11-23|||COMUNE DI TOCCO DA CASAURIA|COMUNE||||||Adeguamento sismico scuola elementare e media|Si|42.213726|13.914290|Ristrutturazione|In approvazione|B71E14000420001|150000,0000|150000,0000
Scuole d'Abruzzo - Il Futuro in Sicurezza - Delibere CIPE 47/2009, 83/2013, 77/2015|Abruzzo|L`Aquila|Goriano Sicoli|066047|Ufficio Speciale per la Ricostruzione dei Comuni del Cratere|2017-11-23|||COMUNE DI GORIANO SICOLI|COMUNE||AQIC82600E|AQEE82607V|SC.ELEM. GORIANO SICOLI||PALESTRA DELLA SCUOLA PRIMARIA - PIAZZA DELLA REPUBBLICA - RISTRUTTURAZIONE E MIGLIORAMENTO SISMICO|Si|42.079887|13.774698|Miglioramento sismico|Concluso|B83B12000120003|185000,0000|150000,0000
Scuole d'Abruzzo - Il Futuro in Sicurezza - Delibere CIPE 47/2009, 83/2013, 77/2015|Abruzzo|L`Aquila|Tornimparte|066101|Ufficio Speciale per la Ricostruzione dei Comuni del Cratere|2017-11-23|||COMUNE DI TORNIMPARTE|COMUNE||||||REALIZZAZIONE POLO SCOLASTICO NELLA FRAZIONE PALOMBAIA.|Si|42.290384|13.300691|Sostituzione edificio scolastico|Start|B84B13000420001|2370000,0000|2370000,0000
Scuole d'Abruzzo - Il Futuro in Sicurezza - Delibere CIPE 47/2009, 83/2013, 77/2015|Abruzzo|Pescara|Penne|068027|Ufficio Speciale per la Ricostruzione dei Comuni del Cratere|2017-11-23|||PROVINCIA DI PESCARA|PROVINCIA|||PETD03000D|G. MARCONI||INTERVENTI IN MATERIA DI EDILIZIA SCOLASTICA A SEGUITO DEGLI EVENTI SISMICI 2009 (PIANO SCUOLE D`ABRUZZO -IL FUTURO IN SICUREZZA) I.T.C.G. G. MARCONI - PENNE.|Si|42.458766|13.925849|Ristrutturazione|Cantiere aperto|C11E13000250005|50000,0000|29000,0000
