Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Agliè|001001|MIUR|2017-03-30|2014-09-29|2015-02-20|AGLIE`|COMUNE|||TOEE091108|D.D.CASTELLAMONTE-AGLIE`|D.D.CASTELLAMONTE-AGLIE`||Si|45.3673|7.76752|Manutenzione Straordinaria|Concluso|C94H14000350004|170000,0000|170000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Almese|001006|MIUR|2017-03-30|2014-06-16|2015-09-30|ALMESE|COMUNE|||TOEE82101E|I.C. ALMESE - PRIMARIA CAP.|I.C. ALMESE - PRIMARIA CAP.||Si|45.1175|7.39499|Efficientamento energetico|Concluso|H56E13000020002|529999,9900|107570,4500
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Andrate|001010|MIUR|2017-03-30|2017-02-25|2017-08-31|ANDRATE|COMUNE|||TOEE84902B|I.C.SETTIMO VITTONE-ANDRATE|I.C.SETTIMO VITTONE-ANDRATE||Si|45.5489|7.88296|Manutenzione Straordinaria|Start|J99D13000340003|90000,0000|90000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Avigliana|001013|MIUR|2017-03-30|2015-06-03|2015-10-30|AVIGLIANA|COMUNE|||TOMM8AG01T|I.C. AVIGLIANA - D. FERRARI|I.C. AVIGLIANA - D. FERRARI||Si|45.0763|7.40169|Manutenzione Straordinaria|Concluso|C34H14000310001|295000,0000|295000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Bibiana|001025|MIUR|2017-03-30|2015-06-22|2015-10-19|BIBIANA|COMUNE|||TOEE84202L|I.C. BRICH.-SC.PRIM. BIBIANA|I.C. BRICH.-SC.PRIM. BIBIANA||Si|44.7987|7.28837|Efficientamento energetico|Concluso|F64H14000450001|255000,0000|255000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Borgofranco d`Ivrea|001030|MIUR|2017-03-30|2017-06-27|2017-08-26|BORGOFRANCO D`IVREA|COMUNE|||TOEE84907L|I.C. SETTIMO VITTONE - RODARI|I.C. SETTIMO VITTONE - RODARI||Si|45.5114|7.85614|Manutenzione Straordinaria|Start|J24H16000670001|99800,0000|99800,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Bussoleno|001044|MIUR|2017-03-30|2015-01-27|2015-06-25|BUSSOLENO|COMUNE|||TOMM89901A|I.C. BUSSOLENO - FERMI E.|I.C. BUSSOLENO - FERMI E.||Si|45.1388|7.15028|Adeguamento normativo|Concluso|B74H13000340001|216000,0000|216000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Buttigliera Alta|001045|MIUR|2017-03-30|2015-04-29|2015-08-26|BUTTIGLIERA ALTA|COMUNE|||TOEE8AF013|I.C. BUTT.ERA ALTA  - M.BRIZIO|I.C. BUTT.ERA ALTA - M.BRIZIO||Si|45.0664|7.43661|Efficientamento energetico|Concluso|E81H13000410007|500000,0000|500000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Caluso|001047|MIUR|2017-03-30|2015-12-01|2016-09-25|TORINO|CITTAMETROPOLITANA|||TOTN039012|I. TECN. TURISMO MARTINETTI|I. TECN. TURISMO MARTINETTI||Si|45.071174|7.685125|Adeguamento normativo|Start|J14H14000140002|500000,0000|500000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Caluso|001047|MIUR|2017-03-30|2015-05-11|2015-08-07|TORINO|CITTAMETROPOLITANA|||TOTN039012|I. TECN. TURISMO MARTINETTI|I. TECN. TURISMO MARTINETTI||Si|45.063620|7.659267|Adeguamento normativo|Concluso|J14H14000170002|390840,2600|390840,2600
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Candia Canavese|001050|MIUR|2017-03-30|2014-12-20|2015-05-18|CANDIA CANAVESE|COMUNE|||TOEE16804R|D.D.SAN GIORGIO-CANDIA CANAVESE|D.D.SAN GIORGIO-CANDIA CANAVESE||Si|45.3281|7.88725|Manutenzione Straordinaria|Concluso|F44H14000290001|245000,0000|245000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Cantalupa|001053|MIUR|2017-03-30|2015-06-12|2015-08-30|CANTALUPA|COMUNE|||TOEE145022|D.D.PINEROLO IV-CANTALUPA|D.D.PINEROLO IV-CANTALUPA||Si|44.9379|7.33666|Manutenzione Straordinaria|Concluso|C74H14000330006|300000,0000|200000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Caselle Torinese|001063|MIUR|2017-03-30|2015-06-15|2015-12-30|CASELLE TORINESE|COMUNE|||TOMM89201G|I.C. CASELLE TORINESE - DEMONTE|I.C. CASELLE TORINESE - DEMONTE||Si|45.1746|7.64882|Manutenzione Straordinaria|Concluso|G84H13000180002|245000,0000|245000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Chieri|001078|MIUR|2017-03-30|2016-02-29|2016-10-17|CHIERI|COMUNE|||TOMM8AT01E|I.C. CHIERI IV - QUARINI|I.C. CHIERI IV - QUARINI||Si|45.0089|7.82756|Adeguamento normativo|Start|J51H13000330006|500000,0000|500000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Ciriè|001086|MIUR|2017-03-30|2015-06-11|2016-01-13|CIRIE`|COMUNE|0010860004||TOEE8AL01G|I.C.  CIRIE` II-DON BOSCO|I.C. CIRIE` II-DON BOSCO||No|45.227935|7.601951|Manutenzione Straordinaria|Concluso|G47E13000110002|500000,0000|500000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Ciriè|001086|MIUR|2017-03-30|2015-07-07|2015-11-03|TORINO|CITTAMETROPOLITANA|||TOTD049503|I. T. COMM. E GEOM. E. FERMI SER.|I. T. COMM. E GEOM. E. FERMI SER.||No|45.228652|7.601445|Manutenzione Straordinaria|Cantiere aperto|J44H14000120002|500000,0000|500000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Collegno|001090|MIUR|2017-03-30|2015-06-16|2015-10-13|COLLEGNO|COMUNE|0010900027|TOEE18500A|TOAA18506B|COLLEGNO - V. RISORGIMENTO|||No|45.074165|7.579570|Manutenzione Straordinaria|Concluso|B84H14002100001|241127,3100|241127,3100
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Colleretto Castelnuovo|001091|MIUR|2017-03-30|2015-07-06|2015-10-16|COLLERETTO CASTELNUOVO|COMUNE|||TOEE09119N|D.D.CASTELLAMONTE-COLLERETTO-C.|D.D.CASTELLAMONTE-COLLERETTO-C.||Si|45.4194|7.67779|Manutenzione Straordinaria|Start|B94H14000810002|43800,0000|43800,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Cuorgnè|001098|MIUR|2017-03-30|2015-05-11|2015-09-08|CUORGNE`|COMUNE|||TOAA10804X|CUORGNE` "MAMMA TILDE"|CUORGNE` "MAMMA TILDE"||Si|45.3875|7.6511|Adeguamento normativo|Concluso|D74H14000580001|290000,0000|290000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Druento|001099|MIUR|2017-03-30|2015-07-01|2015-10-29|DRUENTO|COMUNE|||TOMM89001X|I.C. DRUENTO - DON MILANI|I.C. DRUENTO - DON MILANI||Si|45.1346|7.57654|Adeguamento normativo|Start|I84H14000500005|614379,0000|473055,8100
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Germagnano|001113|MIUR|2017-03-30|2015-04-20|2016-06-30|GERMAGNANO|COMUNE|||TOEE82604R|I.C. LANZO - GERMAGNANO|I.C. LANZO - GERMAGNANO||Si|45.2613|7.46464|Manutenzione Straordinaria|Concluso|C41E13000310005|435000,0000|423286,6000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Grosso|001119|MIUR|2017-03-30|2015-07-16|2015-11-13|GROSSO|COMUNE|||TOEE829048|I.C. BALANGERO-GROSSO|I.C. BALANGERO-GROSSO||Si|45.2599|7.56127|Adeguamento normativo|Concluso|G11E14000410002|177233,4000|177233,4000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Grugliasco|001120|MIUR|2017-03-30|2015-07-01|2015-12-01|GRUGLIASCO|COMUNE|||TOAA81202G|I.C.GRUGLIASCO-KING E.MORANTE|I.C.GRUGLIASCO-KING E.MORANTE||Si|45.0661|7.57891|Manutenzione Straordinaria|Concluso|J24H14000640005|225000,0000|165000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Ivrea|001125|MIUR|2017-03-30|2015-06-16|2015-07-14|IVREA|COMUNE|0011250008||TOEE8AA021|I.C. IVREA I-FRAZ. FIORANA|I.C. IVREA I-FRAZ. FIORANA||No|45.468601|7.886578|Adeguamento normativo|Start|G74H14000990001|25328,6800|21129,3300
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Ivrea|001125|MIUR|2017-03-30|2015-07-03|2015-08-03|IVREA|COMUNE|0011250025||TOEE8AB05X|I.C. IVREA II - D.MILANI-BELL.|I.C. IVREA II - D.MILANI-BELL.||No|45.442124|7.869506|Adeguamento normativo|Start|G74H14001000001|24129,3300|24129,3300
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|La Loggia|001127|MIUR|2017-03-30|2015-06-16|2015-11-12|LA LOGGIA|COMUNE|||TOEE886019|I.C. LA LOGGIA - "B. FENOGLIO"|I.C. LA LOGGIA - "B. FENOGLIO"||Si|44.9568|7.66733|Adeguamento normativo|Concluso|D91H13000390002|272000,0000|272000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Lanzo Torinese|001128|MIUR|2017-03-30|2014-07-07|2014-08-19|LANZO TORINESE|COMUNE|||TOEE82601N|I.C. LANZO - CAP.|I.C. LANZO - CAP.||Si|45.2701|7.47747|Manutenzione Straordinaria|Concluso|E19E13000310004|50000,0000|50000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Montalto Dora|001160|MIUR|2017-03-30|2015-06-22|2015-09-18|MONTALTO DORA|COMUNE|||TOMM8AB02Q|I.C. IVREA II - MONTALTO DORA|I.C. IVREA II - MONTALTO DORA||Si|45.4895|7.86225|Adeguamento normativo|Concluso|D64H14000890003|170000,0000|170000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Montanaro|001161|MIUR|2017-03-30|2015-02-27|2015-09-14|MONTANARO TORINO|COMUNE|||TOMM852015|I.C. MONTANARO - G. CENA|I.C. MONTANARO - G. CENA||Si|45.2294|7.85699|Manutenzione Straordinaria|Concluso|E76E10000760004|250000,0000|250000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Monteu da Po|001162|MIUR|2017-03-30|2015-06-29|2015-08-12|MONTEU DA PO|COMUNE|||TOEE86304Q|I.C. BRUSASCO -  MONTEU DA PO|I.C. BRUSASCO - MONTEU DA PO||Si|45.1503|8.01508|Manutenzione Straordinaria|Start|F84H14001740001|89754,6000|89754,6000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Orbassano|001171|MIUR|2017-03-30|2014-02-19|2014-07-18|ORBASSANO|COMUNE|0011710009||TOAA8AH01D|I.C. ORBASSANO I - "COLLODI"|I.C. ORBASSANO I - "COLLODI"||No|45.009322|7.543812|Adeguamento sismico|Concluso|F81H13000340004|285000,0000|285000,0000
#Scuole Sicure - CIPE 30/06/2014|Piemonte|Torino|Orbassano|001171|MIUR|2017-03-30|2015-06-29|2016-02-24|ORBASSANO|COMUNE|0011710008||TOEE8AJ01X|I.C.  ORBASSANO II - GRAMSCI|I.C. ORBASSANO II - GRAMSCI||No|45.007273|7.525479|Efficientamento energetico|Concluso|F84H14001290005|700000,0000|500000,0000
