Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
6000 Campanili - D.L. 69/2013 - L. 164/2014|Piemonte|Vercelli|Asigliano Vercellese|002007|Gazzetta Ufficiale 194. 20 agosto 2013|2016-10-24|||Asigliano Vercellese|COMUNE|0020070004|VCIC80100A|VCMM80104E|SCUOLA MEDIA|||No|45.259903|8.407314|Riqualificazione: opere edili palestra, impianto fotovoltaico palestra, ascensore scuole elementari e medie|Concluso|F87B14000110001|680000,0000|680000,0000
6000 Campanili - D.L. 69/2013 - L. 164/2014|Piemonte|Novara|Carpignano Sesia|003036|Amministrazione comunale|2017-11-20|2014-10-09|2016-04-29|Carpignano Sesia|COMUNE|0030360002|NOIC80700P|NOAA80701G|ALDO MORO - CARPIGNANO|||No|45.535930|8.422001|Ristrutturazione ed ampliamento|Concluso|G37E13001410001|835000,0000|835000,0000
6000 Campanili - D.L. 69/2013 - L. 164/2014|Veneto|Belluno|Domegge di Cadore|025018|Gazzetta Ufficiale 194. 20 agosto 2013|2016-10-24|||Domegge di Cadore|COMUNE|0250080945|BLIC808002|BLIC808002|IC DOMEGGE|||No|46.460031|12.413652|Trasformazione energetica di fabbricati comunali: municipio, scuola materna, scuole elementari e medie, Casa Barnabò|Concluso|E67H10002570005|890000,0000|890000,0000
6000 Campanili - D.L. 69/2013 - L. 164/2014|Piemonte|Biella|Pray|096050|Amministrazione comunale|2017-11-21|2014-10-10|2018-06-30|Pray|COMUNE|0960500002|BIIC802005|BIEE80204A|PRIMARIA PRAY||45.676166|No|45.676166|8.208563|Riqualificazione energetica ed adeguamento normativo del fabbricato ospitante il Municipio e la scuola primaria|Cantiere aperto|D51E14000200001|926815,0000|926815,0000
6000 Campanili - D.L. 69/2013 - L. 164/2014|Piemonte|Alessandria|Quattordio|006142|Amministrazione comunale|2017-11-15|2014-11-25|2016-04-12|Quattordio|COMUNE|0061420001|ALIC81800Q|ALEE818063|"G.MARCONI" - QUATTORDIO|||No|44.898842|8.405343|Adeguamento per la riduzione dei consumi ed il miglioramento della sicurezza e dei requisiti igienico sanitari|Concluso|J76E13000050009|1050617,0400|676820,4000
6000 Campanili - D.L. 69/2013 - L. 164/2014|Piemonte|Alessandria|Rivalta Bormida|006144|Gazzetta Ufficiale 194. 20 agosto 2013|2016-10-24|||Rivalta Bormida|COMUNE|0061440001|ALIC809001|ALMM809012|RIVALTA BORMIDA - N. BOBBIO|||No|44.711205|8.550839|Ampliamento e completamento|Concluso||0,0000|585000,0000
6000 Campanili - D.L. 69/2013 - L. 164/2014|Sardegna|Sassari|Bonorva|090013|Gazzetta Ufficiale 194, 20 agosto 2013|2016-10-24|||Bonorva|COMUNE|0900130060|SSIC80200L|SSAA80206P|VIA GIOVANNI XXIII, 11- BONORVA|||No|40.419430|8.764684|Ristrutturazione ed adeguamento della scuola dell`infanzia|Concluso||0,0000|500000,0000
6000 Campanili - D.L. 69/2013 - L. 164/2014|Marche|Pesaro e Urbino|Colli al Metauro|041069|Amministrazione comunale|2016-10-24||2016-10-20|Colli al Metauro|COMUNE|0410690560|PSIC810002|PSAA810042|INFANZIA TAVERNELLE|||No|43.731817|12.884157|Costruzione nuova scuola dell`Infanzia|Concluso||830000,0000|977000,0000
6000 Campanili - D.L. 69/2013 - L. 164/2014|Marche|Macerata|Caldarola|043006|Gazzetta Ufficiale 194, 20 agosto 2013|2016-10-24|||Caldarola|COMUNE|0430060200|MCIC80300A|MCMM80301B|SIMONE DE MAGISTRIS|||No|43.139935|13.224514|Riqualificazione|Concluso||0,0000|924791,2000
6000 Campanili - D.L. 69/2013 - L. 164/2014|Lombardia|Como|Novedrate|013163|Gazzetta Ufficiale 194, 20 agosto 2013|2016-10-24|||Novedrate|COMUNE|0131630333|COIC846001|COEE846035|SAC.ZANOLLI STANISLAO|||No|45.700224|9.122970|Adeguamento normativo in materia di eliminazione barriere architettoniche, risparmio energetico e sicurezza antincendio|Concluso||0,0000|611804,1300
6000 Campanili - D.L. 69/2013 - L. 164/2014|Sicilia|Catania|Raddusa|087036|Gazzetta Ufficiale 194, 20 agosto 2013|2016-10-24|||Raddusa|COMUNE|0870361433|CTIC80300R|CTMM80302V|Sec. I - Giovanni Verga|||No|37.476179|14.535252|Ricostruzione e realizzazione del corpo palestra con annessi spogliatoi|Concluso||0,0000|1000000,0000
6000 Campanili - D.L. 69/2013 - L. 164/2014|Abruzzo|Teramo|Cermignano|067016|Gazzetta Ufficiale 194, 20 agosto 2013|2016-10-24|||Cermignano|COMUNE|0670160193|TEIC81000D|TEMM81002G|SCUOLA MEDIA CERMIGNANO|||No|42.590240|13.795192|Adeguamento sismico ed energetico|Concluso||0,0000|1000000,0000
6000 Campanili - D.L. 69/2013 - L. 164/2014|Toscana|Arezzo|Castelfranco Piandiscò|051040|Amministrazione comunale|2017-09-05||2017-08-30|Castelfranco Piandiscò|COMUNE|0510400010||ARAA817017|CASTELFRANCO DI SOPRA||È una delle prime scuole in Italia ad avere tutte le caratteristiche di bioarchitettura che salvaguardano la statica della costruzione. la difesa dagli agenti atmosferici. dagli incendi e dai terremoti. Realizzata completamente in legno. ospiterà sia l’asilo nido che la scuola dell’infanzia. quindi bambini da zero a sei anni.   
|No|43.620385|11.550060|Nuova costruzione|Concluso|E17B15000070006|1000000,0000|1000000,0000
