Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Lombardia|Bergamo|Sovere|016204|Amministrazione comunale|2017-03-23|2015-06-09|2015-09-27|SOVERE|COMUNE|0162040738|BGIC87800N|BGEE87803T|SOVERE  "SUOR G. ZANUTTI"|Primaria - Suor G. Zanutti||No|45.823457|10.026431|Ristrutturazione|Concluso|E14H14000820004|362924,3300|362924,3300
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Lombardia|Cremona|Persico Dosimo|019068|Amministrazione comunale|2017-03-23|2014-10-06|2014-11-03|PERSICO DOSIMO|COMUNE|0190680015|CRIC82300B|CRAA823018|Infanzia - Persichello|Infanzia - Persichello||No|45.167756|10.076569|Ripristino funzionale|Concluso|H64H14000150004|50000,0000|50000,0000
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Lombardia|Cremona|Robecco d`Oglio|019085|Amministrazione comunale|2017-03-23|2014-11-18|2015-02-14|ROBECCO D`OGLIO|COMUNE|0190850127|CRIC810009|CRMM81002B|Sec. I - Robecco D`Oglio|Sec. I - Robecco D`Oglio||No|45.260873|10.079929|Riqualificazione|Concluso|E54H14000330004|156000,0000|156000,0000
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Lombardia|Brescia|Monticelli Brusati|017112|Amministrazione comunale|2017-03-23|2014-11-28|2014-12-10|MONTICELLI BRUSATI|COMUNE|0171120828|BSIC81100Q|BSEE81101T|GIOVANNI BARON|Primaria - Giovanni Baron||No|45.630716|10.099411|Riqualificazione|Concluso|B14H14001470004|94999,9700|94999,9700
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Lombardia|Bergamo|Costa Volpino|016086|Amministrazione comunale|2017-03-23|2015-10-19|2016-10-18|COSTA VOLPINO|COMUNE|0160860536|BGIC84300P|BGMM84301Q|S.M.S. COSTA VOLPINO|Sec.I - Costa Volpino|Al mese di giugno 2017 i lavori risultano da poco ultimati. Inaugurazione prevista per settembre. Gli interventi riguardano la realizzazione di una nuova scuola primaria . al piano terra un auditorium con 200 posti. al primo e al secondo piano le aule didattiche.|No|45.827779|10.099442|Nuova costruzione|Concluso|B91E12000040004|1474477,0000|912597,5900
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Lombardia|Brescia|Sale Marasino|017169|Amministrazione comunale|2017-03-23|2013-12-23|2015-05-30|SALE MARASINO|COMUNE|0171690188|BSIC87100B|BSAA871018|SALE MARASINO CAP.|Infanzia - Sale Marasino|Tutti gli spazi che utilizzano i bambini. compresi i refettori e la palestra soprastante. hanno ampie vetrate da cui si gode una splendida vista sul lago. Ampio uso del legno all’esterno e all’interno dell’edificio. Grande attenzione all’aspetto energetico.|Si|45.714186|10.110776|Nuova costruzione|Concluso|D43B12000210007|1610000,0000|1188415,1200
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Lombardia|Sondrio|Villa di Tirano|014078|Amministrazione comunale|2017-03-23|2014-10-30|2015-09-10|VILLA DI TIRANO|COMUNE|0140780058|SOIC80900R|SOEE809064|Primaria - Clorinda Minerva|Primaria - Clorinda Minerva||No|46.202044|10.131860|Riqualificazione|Concluso|C67E13000240005|157159,0000|157159,0000
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Emilia-Romagna|Parma|Noceto|034025|Amministrazione comunale|2017-03-23|2014-07-24|2014-09-12|NOCETO|COMUNE|0340250152|PRIC80800E|PREE80803P|"RENZO PEZZANI"  NOCETO CPL.|Primaria - NOCETO||No|44.807562|10.184409|Ristrutturazione|Concluso|D76B14000040004|90496,2100|90496,2100
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Lombardia|Brescia|Villa Carcina|017199|Amministrazione comunale|2017-03-23|2015-05-11|2015-09-12|VILLA CARCINA|COMUNE|0171990688|BSIC82600D|BSEE82603N|VILLA CARCINA FRAZ. CARCINA|Primaria - Carcina||No|45.623911|10.203680|Riqualificazione|Concluso|F76E09001210005|330000,0000|330000,0000
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Lombardia|Brescia|Bovezzo|017025|Amministrazione comunale|2017-03-23|2014-10-28|2015-01-31|BOVEZZO|COMUNE|0170250729|BSIC836004|BSEE836016|BOVEZZO " C.COLLODI "|Primaria - Carlo Collodi||No|45.591294|10.243007|Riqualificazione|Concluso|J44H14000190004|356040,0000|230312,6900
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Lombardia|Brescia|Rezzato|017161|Amministrazione comunale|2017-03-23|2014-08-28|2015-06-03|REZZATO|COMUNE|0171610595|BSIC87500P|BSAA87501G|REZZATO `TOMMASO ALBERTI`|Infanzia - Tommaso Alberti||No|45.512850|10.315125|Ristrutturazione|Concluso|J59E14000140006|913514,0000|839696,2400
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Emilia-Romagna|Parma|Traversetolo|034042|Amministrazione comunale|2017-03-23|2014-09-27|2015-03-25|TRAVERSETOLO|COMUNE|0340420214|PRIC819001|PRMM819012|TRAVERSETOLO - "A. MANZONI"|Sec. I - ALESSANDRO MANZONI||No|44.640250|10.379852|Riqualificazione|Concluso|B66B14000090004|367404,8200|367404,8200
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Lombardia|Brescia|Vezza d`Oglio|017198|Amministrazione comunale|2017-03-23|2014-10-10|2015-04-02|VEZZA D`OGLIO|COMUNE|0171980078|BSIC802001|BSEE802057|VEZZA D`OGLIO CAP.|Primaria - Vezza D`Oglio||No|46.239756|10.395833|Riqualificazione|Concluso|H61E14000080004|39575,3200|39575,3200
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Lombardia|Brescia|Paitone|017132|Amministrazione comunale|2017-03-23|2012-10-09|2016-12-31|PAITONE|COMUNE|0171320836|BSIC851006|BSEE85103A|PRIMARIA DI PAITONE||Il nuovo edificio si sviluppa su due piani. � dotato di 5 aule didattiche. una per il sostegno. altre per specifiche attivit� didattiche. un`aula insegnanti. la mensa e i servizi. Molta attenzione al risparmio energetico. con un impianto fotovoltaico. illuminazione a led e coibentazione con materiale naturale.|No|45.552757|10.397958|Ristrutturazione|Concluso|H33B11000250004|2722614,0000|1401472,5000
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Lombardia|Brescia|Bedizzole|017014|Amministrazione comunale|2017-03-23|2015-06-29|2015-12-15|BEDIZZOLE|COMUNE|0170140034|BSIC81300B|BSMM81301C|MEDIA CALINI|Sec.I - Calini||No|45.512749|10.418186|Riqualificazione|Concluso|B29D14003090004|848400,0000|848400,0000
#Scuole Nuove - Sblocco Patto Comuni 2014-2015 - D.L. 66/2014 art. 48 c. 1|Emilia-Romagna|Reggio nell`Emilia|San Polo d`Enza|035038|Amministrazione comunale|2017-03-23|2014-07-23|2014-09-20|SAN POLO D`ENZA|COMUNE|0350380182|REIC821003|REEE821015|SAN POLO D`ENZA - RENZO PEZZANI|Primaria - SAN POLO||No|44.623246|10.42417|Riqualificazione|Concluso|G41H13000240005|55000,0000|55000,0000
