Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Torino|Avigliana|001013|MIT|2017-09-05|||Avigliana|CITTAMETROPOLITANA||TOTD05000T|TOTD05000T|G. GALILEI|||No|45.077681|7.403428|Messa in sicurezza dell`I.T.G. Galilei in Via G. B. Nicol, 2 angolo Via del Brutto nel Comune di Avigliana (TO) - Provincia di Torino|Cantiere aperto|J36E10000520001|170000,0000|170000,0000
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Torino|Carmagnola|001059|MIT|2017-09-05|||Carmagnola|CITTAMETROPOLITANA||TOIS008006|TOPC00801D|BALDESSANO-ROCCATI|||No|44.845176|7.719225|Messa in sicurezza dell`edificio adibito a succursale dell`I.I.S. Baldessano-Roccati in Piazza S. Agostino, 24 nel Comune di Carmagnola (TO) - Provincia di Torino|In approvazione|J46E10000260004|850000,0000|850000,0000
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Torino|Castellamonte|001066|MIT|2017-09-05|||Castellamonte|COMUNE||TOEE09100R|TOEE09101T|D.D.CASTELLAMONTE-CAP.|||No|45.382116|7.714493|Messa in sicurezza scuola elementare in Via Pullino nel Comune di Castellamonte (TO)|Concluso|J26E09000390001|100000,0000|100000,0000
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Torino|Castellamonte|001066|MIT|2017-09-05|||Castellamonte|COMUNE||TOEE09100R|TOEE09101T|D.D.CASTELLAMONTE-CAP.|||No|45.382247|7.714484|Messa in sicurezza della scuola materna Giraudo nel Comune di Castellamonte (TO)|Concluso|J26E09000400001|100000,0000|100000,0000
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Torino|Ciriè|001086|MIT|2017-09-05|||Ciri�|CITTAMETROPOLITANA||TOIS04900C|TOPS04901V|I.I.S.  FERMI-GALILEI  - CIRIE` (TO)|||No|45.228551|7.602115|Messa in sicurezza del Liceo Scientifico Galilei in Via S. Giovanni Bosco, 9 nel Comune di Ciri� (TO) - Provincia di Torino|In approvazione|J46E10000270004|250000,0000|250000,0000
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Torino|Cumiana|001097|MIT|2017-09-05|||Cumiana|COMUNE||TOIC84600R|TOMM84601T|I.C. PINEROLO V - CUMIANA|||No|44.981134|7.373719|Consolidamento statico ed adeguamento sismico dell`edificio scolastico in Via Michele Ferrero, 11/13 nel Comune di Cumiana (TO)|Cantiere aperto|H66E10000310001|450000,0000|450000,0000
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Torino|Perosa Argentina|001184|MIT|2017-09-05|||Perosa Argentina|COMUNE||TOIC807006|TOMM807017|I.C. PEROSA ARGENTINA -GOUTHIER|||No|44.958567|7.191845|Messa in sicurezza della scuola secondaria di primo grado C. Gouthier in Piazza Europa, 1 nel Comune di Perosa Argentina (TO)|Concluso|F36G07001030006|200000,0000|200000,0000
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Torino|Rivoli|001219|MIT|2017-09-05|||Rivoli|CITTAMETROPOLITANA||TOPS10000T|TOPS10000T|CHARLES DARWIN|||No|45.066671|7.503101|Manutenzione straordinanria delle coperture del L. S. Darwin e dell`I. I. S. Romero in Viale Papa Giovanni XXIII del Comune di Rivoli (TO) - Provincia di Torino|Cantiere aperto|J26E10000210004|3000000,0000|3000000,0000
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Torino|Rivoli|001219|MIT|2017-09-05|||Rivoli|COMUNE||TOIC87100D|TOMM87101E|I.C. RIVOLI MATTEOTTI-MATTEOTTI|||No|45.072486|7.504354|Messa in sicurezza del complesso scolastico Matteotti e Vittorino da Feltre in Via Monte Bianco, 23 nel Comune di Rivoli (TO)|Cantiere aperto|F26E11000340001|500000,0000|500000,0000
Messa in sicurezza elementi non strutturali - Delibere CIPE 32/2010 e 6/2012|Piemonte|Torino|Sant`Ambrogio di Torino|001255|MIT|2017-09-05|||Sant`Ambrogio di Torino|COMUNE||TOIC823004|TOEE823016|I.C.SANT`AMBROGIO-G.RODARI|||No|45.098596|7.363971|Messa in sicurezza dell`edificio scolastico Gianni Rodari in Via Garibaldi, 7 nel Comune di Sant`Ambrogio di Torino (TO)|Cantiere aperto|B22J10000290009|225000,0000|225000,0000
