Linea_finanziamento|REGIONE|PROVINCIA|COMUNE|COD_COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|CODICE_EDIFICIO|COD_PRINC|COD_MPI|NOME_SCUOLA|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|CENTRO_COMUNE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|Codice progetto|Importo totale opera|Finanziamento/ Provvedimento
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sassari|Arzachena|090006|Regione Sardegna|2017-12-04|||Arzachena|COMUNE|0900060054||SSAA834011|ARZACHENA - FRAZ. PORTO CERVO|||No|41.130637|9.541535|EFFICIENTAMENTO ENERGETICO|Concluso|H34H15000460005|0,0000|90000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sassari|Budoni|090091|Regione Sardegna|2017-12-04|||Budoni|COMUNE|0900911629||SSAA85301A|BUDONI - VIA NAZIONALE|||No|40.707765|9.698514|EFFICIENTAMENTO ENERGETICO|Concluso|B84H15003190001|0,0000|150000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sud Sardegna|Decimoputzu|111013|Regione Sardegna|2017-12-04|||Decimoputzu|COMUNE|1110130237||CAEE84201R|"MARIA STAZZU" DECIMOPUTZU|||No|39.335752|8.920291|RISTRUTTURAZIONE|Concluso|B94H15000830007|0,0000|100444,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sud Sardegna|Gonnosfanadiga|111031|Regione Sardegna|2017-12-04|||Gonnosfanadiga|COMUNE|1110310253||CAEE808019|"G.LECIS" (GONNOSFANADIGA)|||No|39.489636|8.659979|RISTRUTTURAZIONE|In approvazione|I9D15001050001|0,0000|153424,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sud Sardegna|Gonnosfanadiga|111031|Regione Sardegna|2017-12-04|||Gonnosfanadiga|COMUNE|1110311063||CAEE808019|"G.LECIS" (GONNOSFANADIGA)|||No|39.489128|8.659927|RISTRUTTURAZIONE|In approvazione|I19D15001060001|0,0000|130000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Oristano|Marrubiu|095025|Regione Sardegna|2017-12-04|||Marrubiu|COMUNE|0950250091||ORMM810018|Sec. I - Marrubiu|||No|39.751910|8.637011|RISTRUTTURAZIONE|Concluso|I61E15000340001|0,0000|115000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Oristano|Mogoro|095029|Regione Sardegna|2017-12-04|||Mogoro|COMUNE|0950290338||ORAA81902G|MOGORO|||No|39.684583|8.773922|RISTRUTTURAZIONE|Concluso|C16G15000630001|0,0000|90000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Nuoro|Nuoro|091051|Regione Sardegna|2017-12-04|||Nuoro|COMUNE|0910510104||NUAA876017|NUORO 4 - VIA FUNTANA BUDDIA|||No|40.32519|9.305307|EFFICIENTAMENTO ENERGETICO|Concluso|H64H15000840002|0,0000|35000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sassari|Olbia|090047|Regione Sardegna|2017-12-04|||Olbia|COMUNE|0900470488||SSEE02713N|ISTICADEDDU - OLBIA|||No|40.921012|9.476717|EFFICIENTAMENTO ENERGETICO|Concluso|F79D15001890001|0,0000|480000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sassari|Olbia|090047|Regione Sardegna|2017-12-04|||Olbia|COMUNE|0900470294||SSEE82507N|PRIM. MURTA MARIA|||No|40.887529|9.589082|RISTRUTTURAZIONE|Concluso|F74H15001230001|0,0000|74900,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sassari|Olbia|090047|Regione Sardegna|2017-12-04|||Olbia|COMUNE|0900470148||SSEE05201R|VIA VIGNOLA - OLBIA|||No|40.937704|9.492832|RIQUALIFICAZIONE|Concluso|F79D15001890001|0,0000|1000000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sassari|Olbia|090047|Regione Sardegna|2017-12-04|||Olbia|COMUNE|0900470748||SSEE025154|S.SIMPLICIO - OLBIA|||No|40.925640|9.497872|EFFICIENTAMENTO ENERGETICO|Concluso|F74H15001310001|0,0000|291500,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Nuoro|Oliena|091055|Regione Sardegna|2017-12-04|||Oliena|COMUNE|0910550064||NUAA868018|OLIENA - VIA EINAUDI|||No|40.276984|9.400240|EFFICIENTAMENTO ENERGETICO|Cantiere aperto|J14H15000630001|0,0000|120000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sud Sardegna|Ortacesus|111051|Regione Sardegna|2017-12-04|||Ortacesus|COMUNE|1110510329||CAMM82802E|SCUOLA MEDIA ST. ORTACESUS|||No|39.535810|9.086777|RISTRUTTURAZIONE|Concluso|I19D15000850001|0,0000|90000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sassari|Padru|090090|Regione Sardegna|2017-12-04|||Padru|COMUNE|0900900699||SSMM82502B|S.M. PADRU|||No|40.771159|9.520189|EFFICIENTAMENTO ENERGETICO|Concluso|F91E15000220005|0,0000|90000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sud Sardegna|Sanluri|111067|Regione Sardegna|2017-12-04|||Sanluri|COMUNE|1110671350||CAMM83901X|G.SARAGAT (SANLURI)|||No|39.563828|8.893069|EFFICIENTAMENTO ENERGETICO|Concluso|J91E15000350001|0,0000|310000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sud Sardegna|Sanluri|111067|Regione Sardegna|2017-12-04|||Sanluri|COMUNE|1110671354||CAEE839033|VIA GIOVANNI XXIII|||No|39.566391|8.892267|EFFICIENTAMENTO ENERGETICO|Concluso|J91E15000340001|0,0000|471000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sud Sardegna|Serramanna|111077|Regione Sardegna|2017-12-04|||Serramanna|COMUNE|1110770323||CAEE86602A|VIA PELLICO  (SERRAMANNA)|||No|39.420246|8.926955|RISTRUTTURAZIONE|Concluso|F31E15000460001|0,0000|240000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sud Sardegna|Serramanna|111077|Regione Sardegna|2017-12-04|||Serramanna|COMUNE|1110770113||CAAA866014|Infanzia - Via Fratelli Cervi|||No|39.417480|8.926651|RISTRUTTURAZIONE|Concluso|F31E15000470001|0,0000|90000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sud Sardegna|Serramanna|111077|Regione Sardegna|2017-12-04|||Serramanna|COMUNE|1110770114||CAAA866025|Infanzia - Via Rinascita|||No|39.427091|8.918605|RISTRUTTURAZIONE|Concluso|F31E15000510004|0,0000|20000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Nuoro|Siniscola|091085|Regione Sardegna|2017-12-04|||Siniscola|COMUNE|0910851659||NUEE878014|SCUOLA PRIMARIA  VIA GRAMSCI|||No|40.575617|9.692962|RISTRUTTURAZIONE|Concluso|D41E15000470001|0,0000|220000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sud Sardegna|Villaputzu|111103|Regione Sardegna|2017-12-04|||Villaputzu|COMUNE|||||||Si|39.440047|9.575056|EFFICIENTAMENTO ENERGETICO|Concluso|I93G15000170009|0,0000|180000,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sud Sardegna|Villaputzu|111103|Regione Sardegna|2017-12-04|||Villaputzu|COMUNE|1111030124||CAAA83501C|Infanzia - Via Mazzini|||No|39.442411|9.571008|RISTRUTTURAZIONE|Concluso|I91E14000080001|0,0000|148732,0000
Alluvione Sardegna - Legge n.190 23/12/2014 - Art.1 comma 152|Sardegna|Sud Sardegna|Villaspeciosa|111107|Regione Sardegna|2017-12-04|||Villaspeciosa|COMUNE|1111070446||CAMM84202R|VIA SCUOLE VILLASPECIOSA|||No|39.313411|8.923306|EFFICIENTAMENTO ENERGETICO|Concluso|D54H15000930005|0,0000|90000,0000
