AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|ALUNNI|Tipo
NORD OVEST|CNIC820004|CNAA820011|SANTA VITTORIA D'ALBA|SANTA VITTORIA D'ALBA-CAPOLUOGO|SANTA VITTORIA D'ALBA|SCUOLA INFANZIA|VIA CASTELLO 7|CUNEO|PIEMONTE||
NORD OVEST|CNIC820004|CNAA820022|SANTA VITTORIA D'ALBA|SANTA VITTORIA D'ALBA-CINZANO|SANTA VITTORIA D'ALBA|SCUOLA INFANZIA|VIA DELLO SPUMANTE, 10|CUNEO|PIEMONTE||
NORD OVEST|CNMM161008|CNCT70100G|CPIA 6 CUNEO - SALUZZO|CENTRO TERRITORIALE  CUNEO|CUNEO|CENTRO TERRITORIALE|VIA BARBAROUX 7|CUNEO|PIEMONTE||
NORD OVEST|CNIC84800X|CNEE848089|CUNEO - OLTRESTURA|CUNEO - FRAZ. S. BENIGNO|CUNEO|SCUOLA PRIMARIA|PIAZZALE DON GIOVANNI CAVALLO N. 4|CUNEO|PIEMONTE|58.0|S
NORD OVEST|CNIC84900Q|CNEE84901T|DIANO D'ALBA - CAPOLUOGO|ALBA - FRAZ. S.ROCCO CHERASCA|ALBA|SCUOLA PRIMARIA|SAN ROCCO CHERASCA N.2|CUNEO|PIEMONTE|64.0|S
NORD OVEST|CNIC84900Q|CNEE84902V|DIANO D'ALBA - CAPOLUOGO|"GRINZANE CAVOUR - ""S. VIGLINO"""|GRINZANE CAVOUR|SCUOLA PRIMARIA|VIA BRICCO 15|CUNEO|PIEMONTE|84.0|S
NORD OVEST|CNIC84900Q|CNEE84903X|DIANO D'ALBA - CAPOLUOGO|"RODDI - ""ELSA MALFERRARI"""|RODDI|SCUOLA PRIMARIA|VIA SINEO, 1/A|CUNEO|PIEMONTE|85.0|S
NORD OVEST|CNIC84900Q|CNEE849052|DIANO D'ALBA - CAPOLUOGO|"DIANO D'ALBA - CAP. ""EINAUDI"""|DIANO D'ALBA|SCUOLA PRIMARIA|P.ZA UMBERTO I 25/A|CUNEO|PIEMONTE|81.0|S
NORD OVEST|CNIC80800D|CNIC80800D|BORGO S. DALMAZZO|BORGO S. DALMAZZO|BORGO SAN DALMAZZO|ISTITUTO COMPRENSIVO|P.ZZA DON RAIMONDO VIALE N. 9|CUNEO|PIEMONTE||
NORD OVEST|CNIC809009|CNIC809009|"""A. VASSALLO"" BOVES"|"""A. VASSALLO"" BOVES"|BOVES|ISTITUTO COMPRENSIVO|VIA DON CAVALLERA, 14|CUNEO|PIEMONTE||
NORD OVEST|CNIC81000D|CNIC81000D|ROBILANTE|ROBILANTE|ROBILANTE|ISTITUTO COMPRENSIVO|PIAZZA DELLA PACE  N. 8|CUNEO|PIEMONTE||
NORD OVEST|CNIC811009|CNIC811009|SAN MICHELE MONDOVI'|SAN MICHELE MONDOVI'|SAN MICHELE MONDOVI'|ISTITUTO COMPRENSIVO|VIA DELLE SCUOLE N.1|CUNEO|PIEMONTE||
NORD OVEST|CNIC818004|CNEE818016|SOMMARIVA PERNO|BALDISSERO D'ALBA-CAPOLUOGO|BALDISSERO D'ALBA|SCUOLA PRIMARIA|VIA XXV APRILE, N.10|CUNEO|PIEMONTE|47.0|S
NORD OVEST|CNIC84900Q|CNEE849063|DIANO D'ALBA - CAPOLUOGO|RODELLO - CAPOLUOGO|RODELLO|SCUOLA PRIMARIA|P.ZA COMUNALE, 4|CUNEO|PIEMONTE|36.0|S
NORD OVEST|CNIC84900Q|CNEE849074|DIANO D'ALBA - CAPOLUOGO|"SINIO -  ""ELIGIO COCCIO"""|SINIO|SCUOLA PRIMARIA|P.ZA DON MARCHISIO|CUNEO|PIEMONTE|20.0|S
NORD OVEST|CNIC85000X|CNEE850012|BUSCA GIOSUE CARDUCCI|BUSCA - CAPOLUOGO|BUSCA|SCUOLA PRIMARIA|VIA MICHELIS  1/2|CUNEO|PIEMONTE|353.0|S
NORD OVEST|CNIC85000X|CNEE850023|BUSCA GIOSUE CARDUCCI|BUSCA - FRAZ. CASTELLETTO|BUSCA|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|52.0|S
NORD OVEST|CNIC85700P|CNAA85701G|CUNEO-CORSO SOLERI|CUNEO-VIA XXVIII APRILE|CUNEO|SCUOLA INFANZIA|VIA XXVIII APRILE 25|CUNEO|PIEMONTE||
NORD OVEST|CNIC81400R|CNEE814064|BOSSOLASCO-MURAZZANO|FEISOGLIO|FEISOGLIO|SCUOLA PRIMARIA|VIA FIRENZE, 31|CUNEO|PIEMONTE|24.0|S
NORD OVEST|CNIC81400R|CNEE814075|BOSSOLASCO-MURAZZANO|LEQUIO BERRIA - CAPOLUOGO|LEQUIO BERRIA|SCUOLA PRIMARIA|VIA LANGA, 5|CUNEO|PIEMONTE|70.0|S
NORD OVEST|CNIC81400R|CNEE814086|BOSSOLASCO-MURAZZANO|NIELLA BELBO - CAPOLUOGO|NIELLA BELBO|SCUOLA PRIMARIA|PIAZZA SAN BERNARDINO, 3|CUNEO|PIEMONTE|19.0|S
NORD OVEST|CNIC86100A|CNAA861017|CUNEO VIA SOBRERO|"CUNEO- ""GHIGLIANO"" VIA NEGRELLI"|CUNEO|SCUOLA INFANZIA|VIA LUIGI NEGRELLI, 14|CUNEO|PIEMONTE||
NORD OVEST|CNIC86100A|CNAA861028|CUNEO VIA SOBRERO|CUNEO-VIA ROSTAGNI|CUNEO|SCUOLA INFANZIA|VIA ROSTAGNI, 25|CUNEO|PIEMONTE||
