AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME|SPAZIDIDATTICI|AULAMAGNA|MENSA|PALESTRAPISCINA|SPAZIAMMINISTRATIVI|SCUOLABUS|TRASPORTIPUBBLICIURBANI|TRASPORTIPUBBLICIINTERURBANI|TRASPORTIFERROVIARI|MEZZIPRIVATI|TRASPORTODISABILI|Linea_finanziamento|COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|COD_PRINC|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento
NORD OVEST|CNIS02900P|CNTF029017|"MONDOVI' ""G. CIGNA"""|MONDOVI'|ISTITUTO TECNICO INDUSTRIALE|VIA DI CURAZZA NR. 15|CUNEO|PIEMONTE|0041300031|CN|Attivo|NO|SI|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1800 e il 1899|1963|Informazione assente|8.0|9.575,00|7.406,00|24.361,00|Esiste|Esiste|Non Esiste|Non Esiste|Esiste|SI|SI|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIS02200X|CNTL02201L|"ISTRUZIONE SUPERIORE ""ARIMONDI-EULA"""|RACCONIGI|ISTITUTO TECNICO PER GEOMETRI|PIAZZA MUZZONE, 6|CUNEO|PIEMONTE|0041790004|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|prima del 1800|-|Dal 1976 in poi|2.0|1.800,00|400,00|13.300,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Esiste|NO|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIS02200X|CNTL02202N|"ISTRUZIONE SUPERIORE ""ARIMONDI-EULA"""|SAVIGLIANO|ISTITUTO TECNICO PER GEOMETRI|PIAZZA     BARALIS   4|CUNEO|PIEMONTE|0042150013|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|prima del 1800|-|tra il 1946 e il 1975|3.0|4.700,00|1.200,00|52.500,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Esiste|NO|NO|SI|SI|SI|NO||||||||||||||||||
NORD OVEST|CNIS02200X|CNTL02202N|"ISTRUZIONE SUPERIORE ""ARIMONDI-EULA"""|SAVIGLIANO|ISTITUTO TECNICO PER GEOMETRI|PIAZZA     BARALIS   4|CUNEO|PIEMONTE|0042150015|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|3.0|-|-|4.000,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|NO|NO|SI|SI|SI|NO||||||||||||||||||
NORD OVEST|CNIS02200X|CNTL02202N|"ISTRUZIONE SUPERIORE ""ARIMONDI-EULA"""|SAVIGLIANO|ISTITUTO TECNICO PER GEOMETRI|PIAZZA     BARALIS   4|CUNEO|PIEMONTE|0042150016|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|1.0|3.700,00|1.900,00|16.200,00|Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|NO|NO|SI|SI|SI|NO||||||||||||||||||
NORD OVEST|CNIS02200X|CNTL022523|"SAVIGLIANO""EULA""SERALE"|SAVIGLIANO|ISTITUTO TECNICO PER GEOMETRI|PIAZZA BARALIS, 4|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIS02400G|CNTL024018|"CUNEO ""V.VIRGINIO"" GEOMETRI"|CUNEO|ISTITUTO TECNICO PER GEOMETRI|VIA F.LLI RAMORINO, 3|CUNEO|PIEMONTE|0040780002|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|dal 1976 in poi|-|Dal 1976 in poi|1.0|-|-|2.800,00|Non Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|NO|SI|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIS02400G|CNTL024018|"CUNEO ""V.VIRGINIO"" GEOMETRI"|CUNEO|ISTITUTO TECNICO PER GEOMETRI|VIA F.LLI RAMORINO, 3|CUNEO|PIEMONTE|0040780004|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|prima del 1800|-|tra il 1946 e il 1975|4.0|6.334,00|1.200,00|23.600,00|Esiste|Esiste|Non Esiste|Esiste|Esiste|NO|SI|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIS01600L|CNTD01601V|"BRA ""E. GUALA"""|BRA|ISTITUTO TECNICO COMMERCIALE|PIAZZA     ROMA 7|CUNEO|PIEMONTE|0040290021|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|1.0|-|-|4.000,00|Non Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|SI|SI|SI|SI|SI|SI||||||||||||||||||
NORD OVEST|CNIS01600L|CNTD01601V|"BRA ""E. GUALA"""|BRA|ISTITUTO TECNICO COMMERCIALE|PIAZZA     ROMA 7|CUNEO|PIEMONTE|0040290026|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|5.0|3.642,00|1.695,00|26.239,00|Esiste|Non Esiste|Non Esiste|Esiste|Esiste|SI|SI|SI|SI|SI|NO||||||||||||||||||
