AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|ANNOSCOLASTICO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME
NORD OVEST|CNIC82800P|CNEE82801R|"DRONERO ""G.GIOLITTI"""|ROCCABRUNA - LOC. TETTO ROSSO|ROCCABRUNA|SCUOLA PRIMARIA|VIA MISTRAL N. 15|CUNEO|PIEMONTE|0041870003|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1980|Informazione assente|-|Informazione assente|3.0|2.615,00|1.655,00|3.925,00
NORD OVEST|CNIC83600N|CNAA83604N|GARESSIO|SCUOLA INFANZIA  GARESSIO|GARESSIO|SCUOLA INFANZIA|PIAZZA BALILLA|CUNEO|PIEMONTE|0040950002|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|1956|Informazione assente|-|Informazione assente|3.0|1.200,00|150,00|7.500,00
NORD OVEST|CNIC83700D|CNAA83702B|NEIVE|NEIVE - BORGONUOVO|NEIVE|SCUOLA INFANZIA|VIA C.PAVESE 3A|CUNEO|PIEMONTE|0041480002|CN|Attivo|201516.0|SI|SI|NO|Non classificato a rischio|SI|SI|NO|1983|Informazione assente|-|Informazione assente|3.0|-|-|4.245,00
NORD OVEST|CNIC83700D|CNAA83703C|NEIVE|TREISO|TREISO|SCUOLA INFANZIA|PIAZZA BARACCO|CUNEO|PIEMONTE|0042300003|CN|Attivo|201516.0|SI|-|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1900 e il 1920|-|prima del 1945|2.0|400,00|-|1.480,00
NORD OVEST|CNIC82800P|CNEE82802T|"DRONERO ""G.GIOLITTI"""|"DRONERO ""CAPOL. CENTRALE"""|DRONERO|SCUOLA PRIMARIA|PIAZZA MARCONI|CUNEO|PIEMONTE|0040820003|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|1942|Informazione assente|-|Informazione assente|3.0|4.500,00|2.800,00|14.700,00
NORD OVEST|CNIC82800P|CNEE82803V|"DRONERO ""G.GIOLITTI"""|"DRONERO  ""LOC. OLTREMAIRA"""|DRONERO|SCUOLA PRIMARIA|LOC.OLTREMAIRA|CUNEO|PIEMONTE|0040820001|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1964|Informazione assente|-|Informazione assente|3.0|2.900,00|1.974,00|7.200,00
NORD OVEST|CNIC82800P|CNEE82804X|"DRONERO ""G.GIOLITTI"""|DRONERO - FRAZ. PRATAVECCHIA|DRONERO|SCUOLA PRIMARIA|FRAZ.PRATAVECCHIA|CUNEO|PIEMONTE|0040820010|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|1955|Informazione assente|-|Informazione assente|3.0|2.800,00|2.500,00|2.400,00
NORD OVEST|CNIC80700N|CNAA80701E|BENE VAGIENNA|SALMOUR|SALMOUR|SCUOLA INFANZIA|PIAZZA DONATORI DI SANGUE N. 1|CUNEO|PIEMONTE|0042020001|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|SI|NO|SI|-|tra il 1800 e il 1899|-|tra il 1946 e il 1975|2.0|1.076,00|598,00|3.250,00
NORD OVEST|CNIC80700N|CNAA80702G|BENE VAGIENNA|SANT'ALBANO STURA|SANT'ALBANO STURA|SCUOLA INFANZIA|VIA MOROZZO|CUNEO|PIEMONTE|0042110002|CN|Attivo|201516.0|NO|NO|SI|Non Comunicato|NO|SI|NO|1955|Informazione assente|-|Informazione assente|3.0|2.500,00|2.000,00|2.120,00
NORD OVEST|CNIC81900X|CNEE819023|LA MORRA|NOVELLO - CAPOLUOGO|NOVELLO|SCUOLA PRIMARIA|VIA GIORDANO N. 61|CUNEO|PIEMONTE|0041520001|CN|Attivo|201516.0|SI|NO|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1800 e il 1899|-|prima del 1945|2.0|270,00|70,00|1.020,00
