ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SPERFICIEAREATOTALE, SPERFICIEAREALIBERA, VOLUME
201516,AGCT71300V,0840091061,"4.000,00","2.637,00","9.953,00"
201516,AGCT71400P,0840014237,"3.815,00","2.162,00","9.672,00"
201516,AGCT71400P,0840014280,"2.000,00","1.000,00","2.261,00"
201516,AGCT71500E,0840174143,"12.122,00","11.106,00","7.742,00"
201516,AGEE01100C,0840111101,"9.000,00","6.000,00","12.240,00"
201516,AGEE01102E,0840111103,"18.000,00","6.000,00","9.000,00"
201516,AGEE01104L,0840111101,"9.000,00","6.000,00","12.240,00"
201516,AGEE02400E,0840274812,"1.400,00","455,00","4.930,00"
201516,AGEE02405Q,0840274812,"1.400,00","455,00","4.930,00"
201516,AGEE02406R,0840274828,"430,00","106,00","3.790,00"
201516,AGEE02407T,0840274827,"1.919,00","1.444,00","3.752,00"
201516,AGEE02408V,0840274843,"1.400,00","936,00","4.176,00"
201516,AGEE02604A,0840282297,"2.094,00",-,"13.047,00"
201516,AGEE02605B,0840282300,"7.100,00","4.913,00","10.778,00"
201516,AGEE02800T,0840302756,"5.500,00","3.826,00",-
201516,AGEE028086,0840371164,"4.500,00","2.790,00","9.000,00"
201516,AGEE034005,0840414278,"1.768,00","1.100,00",-
201516,AGEE034016,0840414278,"1.768,00","1.100,00",-
201516,AGEE03406B,0840414294,-,-,"3.500,00"
201516,AGEE03407C,0840414314,"2.500,00","1.334,00",-
201516,AGEE035001,0840413406,"4.698,00","1.835,00","18.265,00"
201516,AGEE035012,0840413406,"4.698,00","1.835,00","18.265,00"
201516,AGEE805026,0840351112,"5.343,00","3.040,00","6.968,00"
201516,AGEE805026,0840351113,"5.343,00","3.040,00","5.800,00"
201516,AGEE80702T,0840144107,"10.472,00","8.267,00","3.698,00"
201516,AGEE80702T,0840144830,"10.472,00","8.267,00","4.317,00"
201516,AGEE80702T,0840144831,"1.145,00","543,00","5.140,00"
201516,AGEE80801L,0840383345,"2.000,00","1.050,00","10.830,00"
201516,AGEE812029,0840151899,"8.790,00","7.521,00","9.288,00"
201516,AGEE812029,0840151900,"8.790,00","7.521,00","9.288,00"
201516,AGEE81502R,0840111099,"5.000,00","3.650,00","17.000,00"
201516,AGEE81701B,0840341114,"8.278,00","5.046,00","9.410,00"
201516,AGEE818017,0840361147,"1.539,00","850,00","6.766,00"
201516,AGEE818028,0840361146,"2.460,00","1.580,00","5.768,00"
201516,AGEE820017,0840014025,"932,00","600,00","3.320,00"
201516,AGEE820028,0840014186,"357,00",-,-
201516,AGEE820039,0840014273,"141,00",-,-
201516,AGEE820039,0840014275,"1.500,00","1.000,00","3.690,00"
201516,AGEE82004A,0840014221,"1.200,00","852,00","2.700,00"
201516,AGEE821013,0840014223,"5.000,00","3.000,00","13.464,00"
201516,AGEE821013,0840014224,"5.000,00","3.000,00","4.800,00"
201516,AGEE821024,0840010497,-,-,-
201516,AGEE82202X,0840014234,"3.500,00","1.620,00","20.960,00"
201516,AGEE82302Q,0840014193,"13.500,00","9.000,00","3.553,00"
201516,AGEE82302Q,0840014252,"13.500,00","9.000,00","22.615,00"
201516,AGEE82303R,0840014226,"2.767,00","2.180,00","4.090,00"
201516,AGEE82402G,0840014333,"1.000,00","480,00","2.184,00"
201516,AGEE82402G,0840014356,"5.000,00","3.547,00","7.120,00"
201516,AGEE82405P,0840014237,"3.815,00","2.162,00","9.672,00"
201516,AGEE82405P,0840014280,"2.000,00","1.000,00","2.261,00"
201516,AGEE82501A,0840014146,"1.760,00","843,00","6.520,00"
201516,AGEE82501A,0840014147,"1.760,00","843,00","429,00"
201516,AGEE82503C,0840014134,"1.330,00",-,-
201516,AGEE82503C,0840014139,"300,00","130,00",-
201516,AGEE82504D,0840014027,"350,00",-,"3.850,00"
201516,AGEE826016,0840054833,"3.350,00","2.450,00","18.000,00"
201516,AGEE826049,0840071165,"1.228,00","709,00",-
201516,AGEE82605A,0840071166,"5.266,00","4.744,00","5.507,00"
201516,AGEE82606B,0840071167,"495,00",-,"3.659,00"
201516,AGEE827023,0840091057,"1.310,00","822,00","7.760,00"
201516,AGEE827034,0840091059,"3.500,00","2.000,00","4.440,00"
201516,AGEE827045,0840091058,"535,00","80,00","2.500,00"
201516,AGEE82801T,0840100610,"3.347,00","2.241,00","9.401,00"
201516,AGEE82902P,0840111098,"9.600,00","7.700,00","11.000,00"
201516,AGEE82903Q,0840111106,"7.000,00","4.785,00","8.200,00"
201516,AGEE83001T,0840111096,"3.010,00","2.048,00","12.500,00"
201516,AGEE83201D,0840181531,"3.605,00","1.442,00","6.279,00"
201516,AGEE83201D,0840181535,"3.605,00","1.442,00","6.309,00"
201516,AGEE83304C,0840211120,-,-,"13.500,00"
201516,AGEE83601R,0840231139,"7.800,00","5.350,00","12.100,00"
201516,AGEE83602T,0840231138,"3.630,00","2.680,00","10.450,00"
201516,AGEE83603V,0840231140,"7.800,00","5.600,00","10.000,00"
201516,AGEE83802D,0840274810,"4.100,00","1.526,00","15.335,00"
201516,AGEE83803E,0840274822,"860,00","470,00","4.230,00"
201516,AGEE83804G,0840274824,"2.365,00","1.729,00","5.278,00"
201516,AGEE84402R,0840413407,"2.400,00","1.410,00","7.600,00"
201516,AGEE84402R,0840413408,"2.400,00","1.410,00","260,00"
201516,AGEE84501G,0840414358,"8.500,00","5.563,00","18.000,00"
201516,AGEE84602C,0840031381,"1.401,00","386,00","13.600,00"
201516,AGEE84603D,0840031389,"1.259,00",-,"4.600,00"
201516,AGEE84604E,0840031383,"848,00","535,00","2.445,00"
201516,AGEE84704A,0840274818,"4.500,00","3.248,00","2.355,00"
201516,AGEE84704A,0840274819,"4.500,00","3.248,00","1.238,00"
201516,AGEE84704A,0840274820,"4.500,00","2.348,00","2.402,00"
201516,AGEE84704A,0840274821,"4.500,00","3.248,00","485,00"
201516,AGEE84705B,0840274800,"9.500,00","6.120,00","13.640,00"
201516,AGEE84705B,0840274823,"9.500,00","6.120,00","8.700,00"
201516,AGEE848013,0840211132,"1.162,00",-,"5.985,00"
201516,AGEE850013,0840274797,"8.500,00","6.386,00","7.400,00"
201516,AGEE850024,0840274825,"750,00",-,"2.437,00"
201516,AGEE85101V,0840291074,"7.402,00",-,"4.641,00"
201516,AGEE85101V,0840291075,"4.402,00",-,"4.714,00"
201516,AGEE85101V,0840291076,"7.402,00",-,"3.124,00"
201516,AGEE85201P,0840123230,"2.690,00","1.683,00","8.761,00"
201516,AGEE85301E,0840261163,"1.300,00","775,00","3.850,00"
201516,AGEE85401A,0840302759,"2.385,00","1.539,00","6.498,00"
201516,AGEE855016,0840014227,"2.100,00","1.512,00","4.116,00"
201516,AGEE855027,0840014214,"11.250,00","9.913,00","3.500,00"
201516,AGEE855027,0840014215,"11.250,00","9.913,00","1.500,00"
201516,AGEE855038,0840014276,"5.670,00","4.660,00","1.392,00"
201516,AGEE855038,0840014277,"5.670,00","4.660,00","3.105,00"
201516,AGEE855049,0840014219,"875,00","595,00","2.200,00"
201516,AGEE85701T,0840330598,"2.330,00","1.010,00","19.500,00"
201516,AGEE85801N,0840174154,"4.400,00","2.644,00","12.300,00"
201516,AGEE85901D,0840174157,"16.000,00","14.300,00","15.300,00"
201516,AGEE86101D,0840174143,"12.122,00","11.106,00","7.742,00"
201516,AGIC805003,0840302758,"7.500,00","5.050,00","15.310,00"
201516,AGIC80700P,0840143937,"5.700,00","4.310,00","10.008,00"
201516,AGIC80700P,0840144101,"2.148,00","1.579,00","2.595,00"
201516,AGIC812006,0840023120,"1.800,00","820,00","10.032,00"
201516,AGIC81500N,0840111097,"4.340,00","3.140,00","13.200,00"
201516,AGIC817009,0840341119,"8.278,00","5.046,00","8.080,00"
201516,AGIC818005,0840361151,"590,00","308,00","422,00"
201516,AGIC819001,0840321043,"4.442,00","2.680,00","7.673,00"
201516,AGIC820005,0840014230,"8.140,00","6.303,00","8.000,00"
201516,AGIC820005,0840014231,"8.140,00","6.303,00","300,00"
201516,AGIC820005,0840014232,"8.140,00","6.303,00","2.800,00"
201516,AGIC821001,0840014223,"5.000,00","3.000,00","13.464,00"
201516,AGIC821001,0840014224,"5.000,00","3.000,00","4.800,00"
201516,AGIC82200R,0840014234,"3.500,00","1.620,00","20.960,00"
201516,AGIC82300L,0840014193,"13.500,00","9.000,00","3.553,00"
201516,AGIC82300L,0840014252,"13.500,00","9.000,00","22.615,00"
201516,AGIC82400C,0840014229,"20.000,00","12.750,00","8.280,00"
201516,AGIC825008,0840014228,-,-,"7.814,00"
201516,AGIC826004,0840054834,"5.885,00","4.515,00","9.246,00"
201516,AGIC82700X,0840091061,"4.000,00","2.637,00","9.953,00"
201516,AGIC82900G,0840111104,"3.000,00","2.000,00","9.000,00"
201516,AGIC83000Q,0840111095,"1.180,00","350,00","13.000,00"
201516,AGIC83200B,0840181531,"3.605,00","1.442,00","6.279,00"
201516,AGIC833007,0840211125,-,-,"7.474,00"
201516,AGIC834003,0840211129,"11.474,00","12.000,00","17.593,00"
201516,AGIC83600P,0840231135,"15.000,00","12.620,00","7.285,00"
201516,AGIC83600P,0840231139,"7.800,00","5.350,00","12.100,00"
201516,AGIC83600P,0840231140,"7.800,00","5.600,00","10.000,00"
201516,AGIC83800A,0840274810,"4.100,00","1.526,00","15.335,00"
201516,AGIC839006,0840282298,"11.448,00","6.980,00","13.537,00"
201516,AGIC841006,0840314556,"9.500,00","6.500,00","20.600,00"
201516,AGIC84300T,0840330603,"6.650,00","3.780,00","11.413,00"
201516,AGIC84400N,0840413407,"2.400,00","1.410,00","7.600,00"
201516,AGIC84500D,0840414358,"8.500,00","5.563,00","18.000,00"
201516,AGIC846009,0840031388,"2.301,00","1.376,00","6.468,00"
201516,AGIC846009,0840031390,"1.736,00","1.350,00","3.436,00"
201516,AGIC847005,0840274800,"9.500,00","6.120,00","13.640,00"
201516,AGIC848001,0840211132,"1.162,00",-,"5.985,00"
201516,AGIC84900R,0840211126,"11.300,00","10.000,00","7.500,00"
201516,AGIC850001,0840274844,"4.960,00","1.518,00","11.477,00"
201516,AGIC85100R,0840291071,-,-,"2.265,00"
201516,AGIC85200L,0840123230,"2.690,00","1.683,00","8.761,00"
201516,AGIC85300C,0840261159,"1.450,00","950,00","3.200,00"
201516,AGIC854008,0840302759,"2.385,00","1.539,00","6.498,00"
201516,AGIC855004,0840014214,"11.250,00","9.913,00","3.500,00"
201516,AGIC855004,0840014215,"11.250,00","9.913,00","1.500,00"
201516,AGIC85700Q,0840330598,"2.330,00","1.010,00","19.500,00"
201516,AGIC85800G,0840174154,"4.400,00","2.644,00","12.300,00"
201516,AGIC85900B,0840174157,"16.000,00","14.300,00","15.300,00"
201516,AGIC86100B,0840174143,"12.122,00","11.106,00","7.742,00"
201516,AGIS00100X,0840110785,"5.584,00","3.900,00","11.592,00"
201516,AGIS00200Q,0840120683,"5.000,00","2.840,00","11.494,00"
201516,AGIS00800P,0840411635,"3.850,00","2.065,00","16.930,00"
201516,AGIS01100E,0840211777,"4.730,00","3.110,00","6.700,00"
201516,AGIS01100E,0840211783,"16.900,00","11.000,00","54.000,00"
201516,AGIS01200A,0840410730,"12.600,00","8.000,00","23.000,00"
201516,AGIS013006,0840211778,"16.039,00","11.773,00","26.000,00"
201516,AGIS014002,0840010662,"10.000,00","5.470,00","34.425,00"
201516,AGIS014002,0840011615,"10.000,00","5.314,00","6.565,00"
201516,AGIS01600N,0840411618,"7.000,00","3.000,00","22.800,00"
201516,AGIS01700D,0840041597,"4.300,00","2.835,00","14.064,00"
201516,AGIS018009,0840311370,"3.168,00","1.970,00","6.990,00"
201516,AGIS018009,0840311373,"495,00",-,"1.800,00"
201516,AGIS018009,0840311396,"2.040,00","1.510,00","2.615,00"
201516,AGIS019005,0840171780,"550,00",-,"13.000,00"
201516,AGIS021005,0840331023,"8.765,00","6.905,00","4.750,00"
201516,AGIS022001,0840270510,"7.200,00","3.872,00","13.294,00"
201516,AGIS02300R,0840010547,"33.238,00","22.756,00","55.809,00"
201516,AGIS02400L,0840031391,-,-,-
201516,AGMM054009,0840414279,"2.200,00","950,00","15.000,00"
201516,AGMM805036,0840302758,"7.500,00","5.050,00","15.310,00"
201516,AGMM812017,0840023121,"1.014,00","300,00","3.458,00"
201516,AGMM812028,0840151899,"8.790,00","7.521,00","9.288,00"
201516,AGMM812028,0840151900,"8.790,00","7.521,00","9.288,00"
201516,AGMM81504T,0840111097,"4.340,00","3.140,00","13.200,00"
201516,AGMM81701A,0840341118,"8.278,00","5.046,00","5.344,00"
201516,AGMM81701A,0840341119,"8.278,00","5.046,00","8.080,00"
201516,AGMM818016,0840361145,"4.430,00","2.063,00","10.856,00"
201516,AGMM819023,0840321043,"4.442,00","2.680,00","7.673,00"
201516,AGMM819023,0840321044,"4.442,00","2.680,00","6.960,00"
201516,AGMM819023,0840321046,"4.442,00","2.680,00","1.385,00"
201516,AGMM820016,0840014230,"8.140,00","6.303,00","8.000,00"
201516,AGMM820016,0840014231,"8.140,00","6.303,00","300,00"
201516,AGMM820016,0840014232,"8.140,00","6.303,00","2.800,00"
201516,AGMM821012,0840014223,"5.000,00","3.000,00","13.464,00"
201516,AGMM821012,0840014224,"5.000,00","3.000,00","4.800,00"
201516,AGMM82201T,0840014026,"5.720,00","3.551,00","22.411,00"
201516,AGMM82201T,0840014168,"1.230,00","684,00",-
201516,AGMM82201T,0840014355,"5.720,00","3.551,00","6.332,00"
201516,AGMM82301N,0840014193,"13.500,00","9.000,00","3.553,00"
201516,AGMM82301N,0840014252,"13.500,00","9.000,00","22.615,00"
201516,AGMM82401D,0840014220,-,-,"513,00"
201516,AGMM82401D,0840014229,"20.000,00","12.750,00","8.280,00"
201516,AGMM82401D,0840014291,"20.000,00","12.750,00","2.220,00"
201516,AGMM82401D,0840014337,"6.000,00","2.500,00",-
201516,AGMM825019,0840014228,-,-,"7.814,00"
201516,AGMM826015,0840054834,"5.885,00","4.515,00","9.246,00"
201516,AGMM826048,0840071167,"495,00",-,"3.659,00"
201516,AGMM826048,0840071169,"5.950,00","3.894,00","6.080,00"
201516,AGMM827011,0840091061,"4.000,00","2.637,00","9.953,00"
201516,AGMM827011,0840091062,"4.000,00","2.647,00","5.155,00"
201516,AGMM82901L,0840111104,"3.000,00","2.000,00","9.000,00"
201516,AGMM83001R,0840111095,"1.180,00","350,00","13.000,00"
201516,AGMM83601Q,0840231135,"15.000,00","12.620,00","7.285,00"
201516,AGMM83801B,0840274810,"4.100,00","1.526,00","15.335,00"
201516,AGMM839017,0840282298,"11.448,00","6.980,00","13.537,00"
201516,AGMM841017,0840314556,"9.500,00","6.500,00","20.600,00"
201516,AGMM84301V,0840330603,"6.650,00","3.780,00","11.413,00"
201516,AGMM84501E,0840414357,"8.500,00","5.563,00","6.178,00"
201516,AGMM84501E,0840414358,"8.500,00","5.563,00","18.000,00"
201516,AGMM847016,0840274800,"9.500,00","6.120,00","13.640,00"
201516,AGMM84901T,0840211126,"11.300,00","10.000,00","7.500,00"
201516,AGMM850012,0840274844,"4.960,00","1.518,00","11.477,00"
201516,AGMM85101T,0840291071,-,-,"2.265,00"
201516,AGMM85301D,0840261156,"2.710,00","1.636,00","5.160,00"
201516,AGMM85301D,0840261159,"1.450,00","950,00","3.200,00"
201516,AGMM85301D,0840261161,"2.710,00","1.636,00","2.115,00"
201516,AGMM855015,0840014214,"11.250,00","9.913,00","3.500,00"
201516,AGMM855015,0840014215,"11.250,00","9.913,00","1.500,00"
201516,AGMM85901C,0840174157,"16.000,00","14.300,00","15.300,00"
201516,AGMM86101C,0840174143,"12.122,00","11.106,00","7.742,00"
201516,AGPC001017,0840110785,"5.584,00","3.900,00","11.592,00"
201516,AGPC008012,0840411635,"3.850,00","2.065,00","16.930,00"
201516,AGPC010001,0840010666,"2.548,00","712,00","21.012,00"
201516,AGPC010001,0840011700,-,-,-
201516,AGPC01701R,0840041597,"4.300,00","2.835,00","14.064,00"
201516,AGPC01701R,0840041601,"1.082,00","735,00","2.776,00"
201516,AGPC060002,0840211619,"2.000,00","1.175,00","10.230,00"
201516,AGPC060002,0840211620,"2.120,00","1.717,00","1.402,00"
201516,AGPC060002,0840211622,"1.100,00",-,"6.997,00"
201516,AGPC060002,0840211630,-,-,-
201516,AGPM002017,0840401779,"19.840,00","15.000,00","18.400,00"
201516,AGPM00250G,0840401779,"19.840,00","15.000,00","18.400,00"
201516,AGPM01801R,0840311370,"3.168,00","1.970,00","6.990,00"
201516,AGPM01801R,0840311373,"495,00",-,"1.800,00"
201516,AGPM01801R,0840311396,"2.040,00","1.510,00","2.615,00"
201516,AGPM02000Q,0840170713,"12.890,00","7.880,00","22.409,00"
201516,AGPM02000Q,0840170714,"12.890,00","11.690,00","9.000,00"
201516,AGPM02101L,0840331019,"2.450,00","1.990,00","2.883,00"
201516,AGPM02101L,0840331020,"2.450,00","1.990,00","2.106,00"
201516,AGPM02101L,0840331021,"8.765,00","6.905,00","2.704,00"
201516,AGPM02101L,0840331022,"8.765,00","6.905,00","3.135,00"
201516,AGPM02101L,0840331023,"8.765,00","6.905,00","4.750,00"
201516,AGPM03000A,0840010662,"10.000,00","5.470,00","34.425,00"
201516,AGPM03000A,0840011411,"5.263,00","3.630,00","13.635,00"
201516,AGPM03000A,0840011614,"10.000,00","5.411,00","6.814,00"
201516,AGPS00101A,0840111577,"2.730,00","1.974,00","4.914,00"
201516,AGPS00101A,0840111578,"5.000,00","3.475,00","4.575,00"
201516,AGPS00101A,0840111802,"5.000,00","3.703,00","8.949,00"
201516,AGPS002016,0840120683,"5.000,00","2.840,00","11.494,00"
201516,AGPS002016,0840120684,"5.000,00","2.840,00","3.863,00"
201516,AGPS002027,0840090731,"1.780,00","400,00","3.000,00"
201516,AGPS002027,0840090732,"1.780,00",-,"5.663,00"
201516,AGPS008015,0840231250,"8.500,00","6.900,00","7.700,00"
201516,AGPS02000P,0840411667,"17.400,00","15.370,00","11.845,00"
201516,AGPS02000P,0840411668,"17.400,00","15.370,00","11.620,00"
201516,AGPS02201B,0840270510,"7.200,00","3.872,00","13.294,00"
201516,AGPS02201B,0840271347,"7.200,00","3.872,00","1.878,00"
201516,AGPS02201B,0840271360,"7.200,00","3.872,00","375,00"
201516,AGPS02201B,0840271380,-,-,-
201516,AGPS030009,0840011421,"396,00",-,"4.495,00"
201516,AGPS030009,0840011540,"6.213,00","2.600,00","9.000,00"
201516,AGPS030009,0840011541,"6.213,00","2.600,00","7.680,00"
201516,AGPS060005,0840010860,"1.580,00","830,00","17.000,00"
201516,AGPS060005,0840011227,"660,00","300,00","5.400,00"
201516,AGPS08000A,0840201782,"11.068,00","5.671,00","11.000,00"
201516,AGRA019015,0840111424,"5.040,00","1.770,00","19.880,00"
201516,AGRC01601L,0840231260,-,-,-
201516,AGRC01602N,0840411618,"7.000,00","3.000,00","22.800,00"
201516,AGRC02301Q,0840010547,"33.238,00","22.756,00","55.809,00"
201516,AGRC02301Q,0840010661,"33.238,00","22.756,00","5.355,00"
201516,AGRC02302R,0840030673,"2.095,00",-,"3.840,00"
201516,AGRC02303T,0840281681,"9.170,00","7.140,00","6.160,00"
201516,AGRC02303T,0840281686,"9.170,00","7.140,00","13.041,00"
201516,AGRH01201E,0840410730,"12.600,00","8.000,00","23.000,00"
201516,AGRH01201E,0840414610,"12.600,00","8.000,00","3.000,00"
201516,AGRH01201E,0840414611,"12.600,00","8.000,00","4.000,00"
201516,AGRH01250V,0840410730,"12.600,00","8.000,00","23.000,00"
201516,AGRH01301A,0840211778,"16.039,00","11.773,00","26.000,00"
201516,AGRH02000C,0840171339,"1.535,00",-,"17.084,00"
201516,AGRH02000C,0840171780,"550,00",-,"13.000,00"
201516,AGRH02050T,0840171339,"1.535,00",-,"17.084,00"
201516,AGRI011016,0840211777,"4.730,00","3.110,00","6.700,00"
201516,AGRI016019,0840411025,"12.000,00","9.423,00","3.178,00"
201516,AGRI016019,0840411636,"12.000,00","9.423,00","16.170,00"
201516,AGRI016019,0840411638,"12.000,00","9.432,00","635,00"
201516,AGRI017015,0840041676,"1.178,00","703,00","6.033,00"
201516,AGRI017026,0840151257,"240,00",-,"2.700,00"
201516,AGRI01750D,0840151257,"240,00",-,"2.700,00"
201516,AGRI01901R,0840171780,"550,00",-,"13.000,00"
201516,AGRI01902T,0840290503,"1.845,00","1.225,00","6.168,00"
201516,AGRI01903V,0840111590,-,-,-
201516,AGRI019505,0840171780,"550,00",-,"13.000,00"
201516,AGRI02000X,0840090751,-,-,"5.682,00"
201516,AGRI02000X,0840360752,"4.430,00","2.063,00","10.856,00"
201516,AGRI020011,0840120659,"800,00",-,"13.147,00"
201516,AGRI02101R,0840331602,"2.890,00","1.686,00","5.881,00"
201516,AGRI02201L,0840270510,"7.200,00","3.872,00","13.294,00"
201516,AGRI024018,0840031391,-,-,-
201516,AGSD00801G,0840411628,"9.100,00","6.165,00","3.334,00"
201516,AGSD00801G,0840411629,"9.100,00","6.165,00","15.200,00"
201516,AGTA012016,0840410730,"12.600,00","8.000,00","23.000,00"
201516,AGTA012016,0840414610,"12.600,00","8.000,00","3.000,00"
201516,AGTA012016,0840414611,"12.600,00","8.000,00","4.000,00"
201516,AGTD01301C,0840211778,"16.039,00","11.773,00","26.000,00"
201516,AGTD01351T,0840211778,"16.039,00","11.773,00","26.000,00"
201516,AGTD014018,0840010662,"10.000,00","5.470,00","34.425,00"
201516,AGTD014018,0840011614,"10.000,00","5.411,00","6.814,00"
201516,AGTD014018,0840011615,"10.000,00","5.314,00","6.565,00"
201516,AGTD01601X,0840411605,"600,00","50,00","5.434,00"
201516,AGTD016519,0840411605,"600,00","50,00","5.434,00"
201516,AGTD01701Q,0840041676,"1.178,00","703,00","6.033,00"
201516,AGTD01801G,0840100504,"362,00",-,"4.414,00"
201516,AGTD02000E,0840111424,"5.040,00","1.770,00","19.880,00"
201516,AGTD02000E,0840111431,"5.040,00","1.770,00","2.452,00"
201516,AGTD02001G,0840260501,"2.545,00","940,00","6.948,00"
201516,AGTD02101B,0840330696,"7.490,00","4.838,00","5.140,00"
201516,AGTD02101B,0840330697,"7.490,00","4.838,00","2.703,00"
201516,AGTD02101B,0840330698,"7.490,00","4.838,00","2.003,00"
