ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SPERFICIEAREATOTALE, SPERFICIEAREALIBERA, VOLUME
201516,BAAA85603P,0720290193,"3.570,00","2.470,00","3.300,00"
201516,BAAA85603P,0720290194,"7.087,00",-,"13.091,00"
201516,BAAA85701C,0720290203,"1.550,00","2.500,00","5.437,00"
201516,BAAA85701C,0720291146,"3.646,00","5.000,00","147.735,00"
201516,BAAA85702D,0720290204,"750,00","320,00","129.952,00"
201516,BAAA85703E,0720290205,"1.300,00","500,00","2.403,00"
201516,BAAA858018,0720360242,"4.065,00","3.597,00","1.125,00"
201516,BAAA858029,0720361655,"4.091,00","2.797,00","5.455,00"
201516,BAAA859014,0720360245,"3.562,00","2.722,00","3.438,00"
201516,BAAA859025,0720360245,"3.562,00","2.722,00","3.438,00"
201516,BAAA860018,1100010374,"5.464,00",-,"18.000,00"
201516,BAAA86201X,1100010065,"2.700,00","2.220,00","1.440,00"
201516,BAAA862021,1100010379,"4.700,00","2.400,00","9.400,00"
201516,BAAA862032,1100010067,"2.850,00","2.400,00","1.485,00"
201516,BAAA86301Q,1100010381,"12.790,00",-,"348,00"
201516,BAAA86302R,1100010068,"1.900,00","1.340,00","2.000,00"
201516,BAAA86401G,1100011354,"2.000,00","1.425,00","2.000,00"
201516,BAAA86402L,1100011460,"4.750,00",-,"3.600,00"
201516,BAAA866017,1100021413,"5.552,00","4.713,00","3.212,00"
201516,BAAA866028,1100021547,"450,00",-,"1.000,00"
201516,BAAA867013,1100021546,"13.452,00","10.996,00","9.048,00"
201516,BAAA86801V,0720200138,"347,00",-,"1.214,00"
201516,BAAA86802X,0720200137,"3.743,00","2.784,00","4.156,00"
201516,BAAA86901P,0720331540,"2.200,00","1.192,00","3.528,00"
201516,BAAA86902Q,0720331022,"418,00","76,00","880,00"
201516,BAAA86903R,0720331024,"4.900,00","2.976,00","5.061,00"
201516,BAAA86903R,0720331025,"4.900,00","2.976,00","4.720,00"
201516,BAAA86904T,0720330230,"1.820,00","95,00","2.755,00"
201516,BAAA87001V,0720330234,"5.900,00","3.900,00","23.200,00"
201516,BAAA87002X,0720330235,"2.009,00","2.300,00","2.280,00"
201516,BAAA87101P,0720351649,"5.000,00",-,"4.500,00"
201516,BAAA87102Q,0720350237,"400,00","1.500,00","1.400,00"
201516,BAAA87103R,0720350239,"500,00","150,00","1.500,00"
201516,BAAA87201E,0720350240,"1.230,00","470,00","6.420,00"
201516,BAAA87202G,0720350241,"1.150,00","616,00","1.880,00"
201516,BAAA87301A,0720300212,"2.500,00","2.030,00","1.650,00"
201516,BAAA87302B,0720300213,"650,00","335,00","1.100,00"
201516,BAAA87303C,0720300214,"1.970,00","1.420,00","1.800,00"
201516,BAAA87304D,0720300215,"5.500,00","4.160,00","4.000,00"
201516,BAAA87305E,0720300210,"1.150,00","425,00","10.600,00"
201516,BAAA874016,0720301411,"8.965,00","7.025,00","9.800,00"
201516,BAAA874027,0720300217,"150,00",-,"450,00"
201516,BAAA874038,0720300455,"12.000,00","8.100,00","150.000,00"
201516,BAAA874038,0720301487,"12.000,00","8.190,00","5.500,00"
201516,BAAA87405A,0720300209,"650,00","220,00","1.200,00"
201516,BAAA875012,0720300206,"5.916,00","4.485,00","4.722,00"
201516,BAAA87601T,0720300208,"9.220,00","6.220,00","22.785,00"
201516,BAAA87602V,0720300220,"1.200,00","430,00","2.700,00"
201516,BAAA87701N,0720440267,"3.496,00","2.777,73","2.514,00"
201516,BAAA87702P,0720440268,"1.564,00","1.106,00","2.488,00"
201516,BAAA87703Q,0720440269,"2.514,00","2.014,00","3.366,00"
201516,BAAA87801D,0720200135,"6.072,00","3.279,00","557,00"
201516,BAAA87802E,0720200133,"280,00",-,"1.120,00"
201516,BAAA879019,0720200136,"896,00","120,00","3.136,00"
201516,BAAA88001D,0720200127,"1.494,00","1.102,00","3.168,00"
201516,BAAA88002E,0720200129,"2.248,00","660,00","5.370,00"
201516,BAAA88003G,0720201483,"3.629,00","2.972,00","4.569,00"
201516,BAAA881019,0720230150,"210,00",-,"4.026,00"
201516,BAAA88102A,0720340299,"4.040,00","3.605,00","3.045,00"
201516,BAAA88103B,0720230422,"5.138,00","1.921,00","10.920,00"
201516,BAAA882015,0720291572,"3.646,00",-,"16.791,00"
201516,BAAA882026,0720290196,"1.388,00","680,00","3.044,00"
201516,BAAA882037,0720290201,"3.540,00","2.236,00","6.098,00"
201516,BAAA882048,0720290199,"1.758,00","1.153,00","2.603,00"
201516,BAAA882048,0720290201,"3.540,00","2.236,00","6.098,00"
201516,BAAA883011,0720081535,"1.160,00","695,00","2.092,00"
201516,BAAA88401R,0720060322,"5.490,00","2.966,00","12.700,00"
201516,BAAA88402T,0720061582,"6.020,00","3.920,00","17.000,00"
201516,BAAA88501L,0720480292,"2.600,00","2.000,00","2.500,00"
201516,BAAA88601C,0720060029,"2.480,00","179,00","994,00"
201516,BAAA88602D,0720060030,"3.497,00","2.167,00","6.659,00"
201516,BAAA88603E,0720060031,"4.470,00","3.301,00","6.134,00"
201516,BAAA88604G,0720060019,"1.410,00","895,00","2.864,00"
201516,BAAA88605L,0720060004,"3.700,00","2.890,00","11.305,00"
201516,BAAA887018,0720230424,"6.473,00","4.863,00","12.800,00"
201516,BAAA888014,0720231648,"2.180,00",-,"2.500,00"
201516,BAAA88901X,0720060355,"4.063,00",-,"6.256,00"
201516,BAAA890014,0720220144,"1.850,00","1.330,00","2.900,00"
201516,BAAA890025,0720220146,"3.860,00",-,"4.150,00"
201516,BAAA890036,0720220880,"1.140,00","420,00","3.700,00"
201516,BAAA89101X,0720220421,"9.400,00","7.130,00","15.000,00"
201516,BAAA891021,0720220148,"1.900,00","920,00","5.300,00"
201516,BAAA89201Q,1100021404,"2.367,00","1.465,00","13.530,00"
201516,BAAA89202R,1100021404,"2.367,00","1.465,00","13.530,00"
201516,BAAA89301G,1100011643,"207,00",-,"430,00"
201516,BAAA89302L,1100010064,"3.250,00","2.690,00","3.250,00"
201516,BAAA89303N,1100010375,"3.600,00","1.250,00","13.300,00"
201516,BACT70100C,1100021418,"5.256,00","3.273,00","15.427,00"
201516,BACT702008,1100040563,"2.207,00","365,00","19.494,00"
201516,BACT703004,1100010550,"4.000,00","1.200,00","14.500,00"
201516,BACT70400X,1100031030,"6.900,00","4.046,00","8.678,00"
201516,BACT70500Q,0720200574,"16.696,00","5.084,00","13.574,00"
201516,BACT70600G,0720290598,"11.370,00","6.908,00","15.204,00"
201516,BACT708007,0720111577,"5.963,00","4.654,00","7.232,00"
201516,BACT709003,0720061633,"4.676,00","2.670,00","19.780,00"
201516,BACT711003,0720060529,"9.960,00","7.260,00","14.700,00"
201516,BACT71200V,0720270595,"8.000,00","6.200,00","13.000,00"
201516,BACT71300P,0720460631,"9.967,00",-,"14.665,00"
201516,BACT716006,0720300602,"2.800,00","1.500,00","17.800,00"
201516,BACT717002,0720410583,"7.500,00","4.886,00","3.700,00"
201516,BACT71800T,0720030541,"2.425,00","933,00","11.578,00"
201516,BACT71900N,1100090629,"2.274,00","882,00","14.733,00"
201516,BACT72000T,0720060516,"9.210,00","4.859,00","20.948,00"
201516,BAEE011008,0720060325,"7.413,00","5.284,00","14.812,00"
201516,BAEE011019,0720060325,"7.413,00","5.284,00","14.812,00"
201516,BAEE01400Q,0720060331,"9.165,00","5.354,00","14.636,00"
201516,BAEE01401R,0720060331,"9.165,00","5.354,00","14.636,00"
201516,BAEE01404X,0720060011,"4.487,00","3.047,00","11.283,00"
201516,BAEE017007,0720060337,"4.896,00","2.842,00","14.565,00"
201516,BAEE017018,0720060337,"4.896,00","2.842,00","14.565,00"
201516,BAEE01707E,0720060338,"10.019,00","7.276,00","17.871,00"
201516,BAEE026002,0720060354,"5.220,00","3.184,00","12.000,00"
201516,BAEE026013,0720060354,"5.220,00","3.184,00","12.000,00"
201516,BAEE026079,0720060018,"935,00","270,00","652,00"
201516,BAEE02700T,0720060356,"4.066,00","2.245,00","17.772,00"
201516,BAEE027053,0720060356,"4.066,00","2.245,00","17.772,00"
201516,BAEE027064,0720060357,"5.737,00","4.244,00","4.350,00"
201516,BAEE03000N,0720060361,"9.770,00","5.620,00","42.000,00"
201516,BAEE03001P,0720060361,"9.770,00","5.620,00","42.000,00"
201516,BAEE03600L,0720010362,"2.990,00","1.108,00","20.020,00"
201516,BAEE03601N,0720010362,"2.990,00","1.108,00","20.020,00"
201516,BAEE03601N,0720011557,"241,00",-,"1.335,00"
201516,BAEE03602P,0720010363,"2.479,00","1.399,00","5.181,00"
201516,BAEE03700C,0720010365,"8.950,00","6.440,00","12.027,00"
201516,BAEE03701D,0720010364,"3.829,00","2.476,00","10.203,00"
201516,BAEE03704L,0720010365,"8.950,00","6.440,00","12.027,00"
201516,BAEE04400G,0720040048,"4.100,00","3.000,00","14.700,00"
201516,BAEE04401L,0720040369,"3.300,00","870,00","3.380,00"
201516,BAEE04402N,0720040369,"3.300,00","870,00","3.380,00"
201516,BAEE04500B,0720040053,"5.100,00","3.400,00","12.000,00"
201516,BAEE04501C,0720040370,"1.330,00","230,00","16.500,00"
201516,BAEE04503E,0720040053,"5.100,00","3.400,00","12.000,00"
201516,BAEE046007,0720040920,"9.200,00","7.200,00","7.175,00"
201516,BAEE046018,0720040054,"6.140,00",-,"22.420,00"
201516,BAEE04604B,0720040920,"9.200,00","7.200,00","7.175,00"
201516,BAEE04900P,1100010372,"3.850,00","10.050,00","46.000,00"
201516,BAEE04901Q,1100010372,"3.850,00","10.050,00","46.000,00"
201516,BAEE04903T,1100010062,"10.900,00",-,"14.100,00"
201516,BAEE05600T,1100010069,"3.000,00","700,00","9.400,00"
201516,BAEE05601V,1100010385,"3.400,00","900,00","9.400,00"
201516,BAEE056053,1100010069,"3.000,00","700,00","9.400,00"
201516,BAEE061009,1100020773,"3.242,00","1.623,00","10.714,00"
201516,BAEE06101A,1100020773,"3.242,00","1.623,00","10.714,00"
201516,BAEE06101A,1100021380,"1.164,00","254,00","4.232,00"
201516,BAEE063001,1100021195,"13.004,00","10.435,00","12.331,00"
201516,BAEE063012,1100021195,"13.004,00","10.435,00","12.331,00"
201516,BAEE063034,1100021426,"2.190,00","1.260,00","7.665,00"
201516,BAEE06400R,1100021391,"11.682,00","8.991,00","12.916,00"
201516,BAEE06401T,1100021449,"6.463,00","4.182,00","10.693,00"
201516,BAEE06401T,1100021523,"10.264,00","7.298,00","14.568,00"
201516,BAEE06403X,1100021391,"11.682,00","8.991,00","12.916,00"
201516,BAEE06500L,1100021156,"10.547,00","7.779,00","13.118,00"
201516,BAEE06501N,1100021488,"8.964,00","6.211,00","14.401,00"
201516,BAEE06502P,1100021488,"8.964,00","6.211,00","14.401,00"
201516,BAEE068004,1100030386,"3.835,00","1.920,00","24.320,00"
201516,BAEE068015,1100030386,"3.835,00","1.920,00","24.320,00"
201516,BAEE068015,1100031010,"397,00",-,"3.057,00"
201516,BAEE06900X,1100030079,"2.412,00","1.534,00","10.956,00"
201516,BAEE069011,1100030075,"3.020,00",-,"2.635,00"
201516,BAEE069011,1100030079,"2.412,00","1.534,00","10.956,00"
201516,BAEE06912D,1100031371,"4.009,00","2.508,00","10.822,00"
201516,BAEE06914G,1100030076,"5.414,00","3.387,00","11.531,00"
201516,BAEE070004,1100031021,"4.900,00","2.866,00","15.365,00"
201516,BAEE070026,1100030388,"8.664,00","7.452,00","8.165,00"
201516,BAEE070048,1100030389,"1.800,00",-,"210,00"
201516,BAEE070048,1100031021,"4.900,00","2.866,00","15.365,00"
201516,BAEE07100X,1100030758,"5.432,00","3.603,00","14.724,00"
201516,BAEE071022,1100030758,"5.432,00","3.603,00","14.724,00"
201516,BAEE071044,1100030759,"14.773,00","12.360,00","24.130,00"
201516,BAEE076003,0720110390,"7.069,00","3.150,00","29.846,00"
201516,BAEE076014,0720110390,"7.069,00","3.150,00","29.846,00"
201516,BAEE076014,0720110391,"7.069,00","3.150,00","2.785,00"
201516,BAEE088009,0720150402,"5.137,00","1.550,00","21.473,00"
201516,BAEE08801A,0720150402,"5.137,00","1.550,00","21.473,00"
201516,BAEE09400L,0720190407,"4.488,00","795,00","14.958,00"
201516,BAEE09401N,0720190407,"4.488,00","795,00","14.958,00"
201516,BAEE09500C,0720190408,"2.668,00","1.478,00","4.461,00"
201516,BAEE09501D,0720190408,"2.668,00","1.478,00","4.461,00"
201516,BAEE09502E,0720190409,"5.400,00","3.242,00","7.701,00"
201516,BAEE09503G,0720190410,"2.700,00","2.123,00","2.898,00"
201516,BAEE09800X,0720200131,"3.756,00","1.035,00","34.012,00"
201516,BAEE098011,0720200131,"3.756,00","1.035,00","34.012,00"
201516,BAEE098033,0720200411,"8.258,00","6.833,00","3.014,00"
201516,BAEE10500T,0720240427,"5.636,00","2.365,00","38.396,00"
201516,BAEE10501V,0720240427,"5.636,00","2.365,00","38.396,00"
201516,BAEE10502X,0720240159,"750,00",-,"9.643,15"
201516,BAEE110009,0720231452,"12.630,00","10.165,00","12.417,00"
201516,BAEE11003C,0720231452,"12.630,00","10.165,00","12.417,00"
201516,BAEE12000X,0720270169,"4.900,00","3.000,00","16.350,00"
201516,BAEE120011,0720270169,"4.900,00","3.000,00","16.350,00"
201516,BAEE120033,0720270175,"6.630,00","4.130,00","7.300,00"
201516,BAEE120033,0720271325,"6.630,00","4.130,00","1.550,00"
201516,BAEE120055,0720270170,"4.000,00","1.600,00","9.800,00"
201516,BAEE120066,0720270178,"2.900,00","1.100,00","5.400,00"
201516,BAEE12100Q,0720270436,"3.900,00","1.900,00","12.000,00"
201516,BAEE12101R,0720270436,"3.900,00","1.900,00","12.000,00"
201516,BAEE121062,0720270172,"3.344,00",-,"9.312,00"
201516,BAEE12200G,0720270177,"8.000,00","6.300,00","12.000,00"
201516,BAEE12202N,0720270438,"5.200,00","13.160,00","10.100,00"
201516,BAEE12204Q,0720270177,"8.000,00","6.300,00","12.000,00"
201516,BAEE12205R,0720270439,"5.635,00",-,"11.912,00"
201516,BAEE124007,0720280440,"6.651,00","4.161,00","16.792,00"
201516,BAEE124029,0720280440,"6.651,00","4.161,00","16.792,00"
201516,BAEE12403A,0720280180,"3.828,00","2.413,00","8.243,00"
201516,BAEE125003,0720281121,"3.430,00","1.260,00","16.817,00"
201516,BAEE125014,0720281121,"3.430,00","1.260,00","16.817,00"
201516,BAEE125036,0720280597,"7.655,00","6.430,00","10.464,00"
201516,BAEE145008,0720320466,"5.403,00","2.816,00","18.835,00"
201516,BAEE145019,0720320466,"5.403,00","2.816,00","18.835,00"
201516,BAEE15500V,0720371375,"2.660,00","900,00","21.605,00"
201516,BAEE15500V,0720371501,"2.660,00","900,00","2.484,00"
201516,BAEE15501X,0720371375,"2.660,00","900,00","21.605,00"
201516,BAEE15501X,0720371501,"2.660,00","900,00","2.484,00"
201516,BAEE15700E,0720380700,"5.520,00","2.228,00","27.653,00"
201516,BAEE15701G,0720380700,"5.520,00","2.228,00","27.653,00"
201516,BAEE15800A,0720380722,"3.270,00","1.650,00","13.983,00"
201516,BAEE15801B,0720380722,"3.270,00","1.650,00","13.983,00"
201516,BAEE15802C,0720380473,"1.600,00",-,"3.219,00"
201516,BAEE15802C,0720380726,"1.600,00","730,00","3.219,00"
201516,BAEE162002,0720410259,"5.500,00","3.500,00","16.000,00"
201516,BAEE162013,0720410259,"5.500,00","3.500,00","16.000,00"
201516,BAEE162024,0720410476,"1.750,00","350,00","20.500,00"
201516,BAEE16300T,0720410477,"8.350,00","6.095,00","11.175,00"
201516,BAEE16301V,0720410477,"8.350,00","6.095,00","11.175,00"
201516,BAEE16302X,0720410478,"4.670,00","890,00","51.300,00"
201516,BAEE16302X,0720410597,"4.670,00","890,00","3.250,00"
201516,BAEE167005,0720430480,"9.000,00","5.600,00","22.875,00"
201516,BAEE167016,0720430480,"9.000,00","5.600,00","22.875,00"
201516,BAEE168001,0720430481,"6.280,00","4.210,00","3.838,00"
201516,BAEE168012,0720430267,"14.280,00",-,"19.120,00"
201516,BAEE168012,0720430481,"6.280,00","4.210,00","3.838,00"
201516,BAEE17200L,1100090271,"3.900,00","1.452,00","28.284,00"
201516,BAEE17201N,1100090271,"3.900,00","1.452,00","28.284,00"
201516,BAEE17300C,1100090484,"7.433,00","3.735,00","22.940,00"
201516,BAEE17301D,1100090484,"7.433,00","3.735,00","22.940,00"
201516,BAEE17302E,1100091624,"5.356,00","3.406,00","13.912,00"
201516,BAEE174008,1100090486,"1.154,00","219,00","17.232,00"
201516,BAEE174019,1100090486,"1.154,00","219,00","17.232,00"
201516,BAEE17406E,1100091513,"6.878,00",-,"12.600,00"
201516,BAEE175004,1100090488,"9.675,00","7.075,00","18.400,00"
201516,BAEE175004,1100091640,"5.750,00",-,"27.693,00"
201516,BAEE175015,1100090488,"9.675,00","7.075,00","18.400,00"
201516,BAEE17700Q,0720460623,"6.172,00","3.655,00","22.550,00"
201516,BAEE17701R,0720460623,"6.172,00","3.655,00","22.550,00"
201516,BAEE17702T,0720460283,"12.500,00",-,"15.738,00"
201516,BAEE17800G,0720460778,"6.505,00","4.628,00","12.818,00"
201516,BAEE17801L,0720460778,"6.505,00","4.628,00","12.818,00"
201516,BAEE17802N,0720460491,"10.800,00",-,"10.375,00"
201516,BAEE18400V,0720481583,"500,00","3.000,00","10.000,00"
201516,BAEE18401X,0720481583,"500,00","3.000,00","10.000,00"
201516,BAEE184032,0720480293,"5.000,00","2.850,00","4.000,00"
201516,BAEE184032,0720480294,"5.000,00",-,"2.300,00"
201516,BAEE184032,0720481560,"5.000,00","2.850,00","3.500,00"
201516,BAEE18600E,0720040495,"5.110,00","3.060,00","20.500,00"
201516,BAEE18601G,0720040495,"5.110,00","3.060,00","20.500,00"
201516,BAEE190006,0720370501,"6.500,00","4.234,00","1.880,00"
201516,BAEE190006,0720371504,"6.500,00","4.234,00","1.287,00"
201516,BAEE190006,0720371505,"6.500,00","4.234,00","10.195,00"
201516,BAEE190017,0720370501,"6.500,00","4.234,00","1.880,00"
201516,BAEE190017,0720371504,"6.500,00","4.234,00","1.287,00"
201516,BAEE190017,0720371505,"6.500,00","4.234,00","10.195,00"
201516,BAEE190028,0720320465,"325,00",-,"1.500,00"
201516,BAEE19200T,0720040057,"6.130,00",-,"21.877,50"
201516,BAEE19201V,0720040057,"6.130,00",-,"21.877,50"
201516,BAEE197001,0720150403,"6.400,00","5.340,00","5.579,00"
201516,BAEE197012,0720150403,"6.400,00","5.340,00","5.579,00"
201516,BAEE19800R,1100010383,"4.080,00","3.080,00","9.200,00"
201516,BAEE19801T,1100010383,"4.080,00","3.080,00","9.200,00"
201516,BAEE19802V,1100010070,"4.300,00","2.000,00","9.400,00"
201516,BAEE20100B,0720230425,"5.606,00","3.695,00","13.599,00"
201516,BAEE20101C,0720230425,"5.606,00","3.695,00","13.599,00"
201516,BAEE20102D,0720230298,"6.880,00","4.480,00","15.400,00"
201516,BAEE80001T,1100060433,"3.566,00","2.160,00","17.350,00"
201516,BAEE80002V,1100060434,"720,00",-,"5.674,00"
201516,BAEE80002V,1100061492,"720,00",-,"5.674,00"
201516,BAEE80003X,1100060435,"3.005,00","1.810,00","15.588,00"
201516,BAEE80003X,1100060671,"809,00",-,"4.000,00"
201516,BAEE80101N,1100080613,"6.000,00","2.000,00","20.000,00"
201516,BAEE803019,0720060312,"1.299,00","297,00","12.290,00"
201516,BAEE80302A,0720060315,"1.442,00","435,00","20.925,00"
201516,BAEE804015,0720180311,"715,00",-,"5.000,00"
201516,BAEE804015,0720180503,"500,00",-,"3.600,00"
201516,BAEE805011,0720390254,"3.555,00","2.358,00","6.910,00"
201516,BAEE805022,0720391250,"1.631,00","1.139,00","3.677,00"
201516,BAEE80601R,0720060883,"1.658,00","1.022,00","3.180,00"
201516,BAEE80602T,0720060016,"11.142,00","7.921,00","19.942,00"
201516,BAEE80604X,0720060009,"2.693,00","2.142,00","3.582,00"
201516,BAEE806051,0720061357,"4.693,00","3.472,00","5.193,00"
201516,BAEE80701L,0720060314,"3.040,00","7.855,00","7.209,00"
201516,BAEE80702N,0720060319,"2.637,00","518,00","22.296,00"
201516,BAEE80801C,0720110304,"1.155,00","610,00","4.890,00"
201516,BAEE80802D,0720110499,"5.400,00","3.000,00","10.976,00"
201516,BAEE809018,0720111531,"7.800,00","5.640,00","13.021,00"
201516,BAEE80903A,0720110397,"3.106,00","1.569,00","8.036,00"
201516,BAEE80903A,0720111531,"7.800,00","5.640,00","13.021,00"
201516,BAEE80903A,0720111637,"7.800,00","5.640,00","2.445,00"
201516,BAEE811018,0720230152,"1.131,00","2.340,00","4.746,00"
201516,BAEE811029,0720230497,"3.600,00","2.810,00","7.110,00"
201516,BAEE812014,0720060353,"11.000,00","7.628,00","13.680,00"
201516,BAEE812025,0720060352,"7.445,00","5.677,00","18.051,00"
201516,BAEE81301X,0720060323,"3.597,00","2.353,00","5.124,00"
201516,BAEE81401Q,0720060318,"1.019,00","231,00","20.884,00"
201516,BAEE81501G,0720060316,"1.765,00","813,00","18.050,00"
201516,BAEE81502L,0720061369,"2.722,00","672,00","23.460,00"
201516,BAEE81503N,0720061298,"2.520,00","1.085,00","29.654,00"
201516,BAEE81601B,0720061668,"13.000,00","5.842,00","26.380,00"
201516,BAEE81602C,0720060020,"5.093,00","2.850,00","18.776,00"
201516,BAEE817017,0720060343,"3.690,00","2.301,00","14.284,00"
201516,BAEE817028,0720060035,"500,00","200,00","1.700,00"
201516,BAEE818013,0720060023,"3.333,00","2.341,00","10.012,00"
201516,BAEE81901V,0720060349,"8.710,00","6.939,00","10.493,00"
201516,BAEE81902X,0720060348,"2.908,00","1.371,00","8.118,00"
201516,BAEE820013,0720030367,"2.754,00","485,00","40.897,00"
201516,BAEE820024,0720030045,"1.241,00","199,00","8.067,00"
201516,BAEE820035,0720030368,"775,00","454,00","6.161,00"
201516,BAEE82101V,0720040058,"6.840,00","4.430,00","1.327,00"
201516,BAEE82201P,0720100080,"3.630,00",-,"18.400,00"
201516,BAEE82301E,0720140401,"3.900,00","2.160,00","15.024,00"
201516,BAEE82401A,0720140502,"6.090,00","4.790,00","6.650,00"
201516,BAEE825016,0720160404,"3.608,00","1.648,00","10.423,00"
201516,BAEE825027,0720160405,"1.775,00",-,"8.230,00"
201516,BAEE826012,0720170406,"6.500,00","3.198,00","23.230,00"
201516,BAEE82701T,0720171623,"3.875,00","2.900,00","17.700,00"
201516,BAEE82701T,0720171624,"121,60",-,"364,74"
201516,BAEE82801N,0720210416,"2.310,00","420,00","40.068,00"
201516,BAEE82802P,0720210417,"1.054,00",-,"2.470,00"
201516,BAEE82901D,0720210418,"3.540,00","182,00","11.150,00"
201516,BAEE82902E,0720210142,"2.080,00","4.580,00","17.860,00"
201516,BAEE83101D,0720250428,"3.018,00","1.676,00","1.385,00"
201516,BAEE83102E,0720251585,"1.500,00","1.000,00","2.000,00"
201516,BAEE83103G,0720251327,"10.000,00","9.370,00","2.200,00"
201516,BAEE832019,0720400256,"2.791,00","785,00","19.160,00"
201516,BAEE833026,0720470492,"5.280,00",-,"2.855,00"
201516,BAEE833037,0720470492,"5.280,00",-,"2.855,00"
201516,BAEE833048,0720470492,"5.280,00",-,"2.855,00"
201516,BAEE834011,0720020366,"5.840,00","3.850,00","12.350,00"
201516,BAEE83501R,0720021280,"2.630,00","1.980,00","2.570,00"
201516,BAEE83601L,0720120103,"4.227,00","2.094,00","14.743,00"
201516,BAEE83701C,0720311363,"4.356,00","594,00","29.830,00"
201516,BAEE838018,0720310463,"3.550,00","2.010,00","10.500,00"
201516,BAEE839014,0720320230,"5.411,00","4.009,00","3.485,00"
201516,BAEE840018,0720320464,"6.648,00","3.428,00","14.662,00"
201516,BAEE84201X,0720060326,"8.298,00","5.758,00","3.058,00"
201516,BAEE842021,0720060327,"9.141,00","6.634,00","8.792,00"
201516,BAEE842032,0720060329,"6.142,00","3.888,00","11.045,00"
201516,BAEE84301Q,0720060032,"13.308,00","10.773,00","19.012,00"
201516,BAEE84303T,0720060516,"9.210,00","4.859,00","20.948,00"
201516,BAEE84401G,0720061306,"12.628,00","9.599,00","23.404,00"
201516,BAEE84501B,0720060320,"4.944,00","2.345,00","15.976,00"
201516,BAEE84502C,0720060321,"1.054,00","454,00","4.900,00"
201516,BAEE846017,0720060336,"3.805,00","1.867,00","13.593,00"
201516,BAEE846028,0720060013,"2.734,00","372,00","25.100,00"
201516,BAEE846039,0720061366,"4.492,00","3.231,00","11.275,00"
201516,BAEE847013,0720060317,"2.632,00","1.211,00","20.477,00"
201516,BAEE84801V,0720111319,"3.293,00","290,00","12.615,00"
201516,BAEE84901P,0720110394,"3.800,00","1.790,00","15.389,00"
201516,BAEE84901P,0720111577,"5.963,00","4.654,00","7.232,00"
201516,BAEE84902Q,0720111577,"5.963,00","4.654,00","7.232,00"
201516,BAEE85001V,0720110392,"5.992,00","3.729,00","15.850,00"
201516,BAEE85101P,1100040105,"5.500,00","3.900,00","33.579,00"
201516,BAEE85201E,1100040399,"7.141,00","5.099,00","15.131,00"
201516,BAEE85202G,1100040108,"5.947,00","3.526,00","16.696,00"
201516,BAEE85301A,1100040400,"5.709,00","3.292,00","17.086,00"
201516,BAEE85302B,1100041643,"10.850,00","8.855,00","10.779,00"
201516,BAEE854016,0720290448,"2.581,00","695,00","11.310,00"
201516,BAEE854027,0720290449,"6.875,00","4.566,00","17.087,00"
201516,BAEE855012,0720290443,"13.086,00","9.571,00","16.929,00"
201516,BAEE855023,0720290444,"970,00",-,"2.850,00"
201516,BAEE85601T,0720290445,"3.446,00","1.192,00","24.092,00"
201516,BAEE85601T,0720290600,"5.591,00","2.140,00","44.479,00"
201516,BAEE85701N,0720290203,"1.550,00","2.500,00","5.437,00"
201516,BAEE85702P,0720290194,"7.087,00",-,"13.091,00"
201516,BAEE85702P,0720290450,"3.950,00","1.290,00","16.680,00"
201516,BAEE85801D,0720361124,"4.552,00","2.347,00","18.741,00"
201516,BAEE85801D,0720361144,"4.552,00","2.347,00","6.356,00"
201516,BAEE85801D,0720361152,"4.552,00","2.347,00","1.851,00"
201516,BAEE859019,0720360469,"4.760,00","3.232,00","7.603,00"
201516,BAEE859019,0720361229,"4.760,00","3.232,00","2.215,00"
201516,BAEE85902A,0720360470,"5.967,00","3.565,00","9.841,00"
201516,BAEE86001D,1100010373,"2.600,00","800,00","1.800,00"
201516,BAEE86002E,1100010374,"5.464,00",-,"18.000,00"
201516,BAEE862015,1100010378,"2.611,00","1.587,00","9.754,00"
201516,BAEE862026,1100010379,"4.700,00","2.400,00","9.400,00"
201516,BAEE863011,1100010380,"6.800,00","3.400,00","14.000,00"
201516,BAEE86401R,1100010382,"15.670,00",-,"15.600,00"
201516,BAEE86402T,1100011463,"3.750,00","2.300,00","5.000,00"
201516,BAEE86403V,1100010382,"15.670,00",-,"15.600,00"
201516,BAEE86601C,1100021411,"6.884,00","4.429,00","23.089,00"
201516,BAEE867018,1100021408,"4.929,00","3.364,00","10.188,00"
201516,BAEE867029,1100021546,"13.452,00","10.996,00","9.048,00"
201516,BAEE868014,0720200414,"5.920,00","4.493,00","10.266,00"
201516,BAEE868025,0720201351,"7.071,00","5.507,00","8.225,00"
201516,BAEE86901X,0720331024,"4.900,00","2.976,00","5.061,00"
201516,BAEE86901X,0720331025,"4.900,00","2.976,00","4.720,00"
201516,BAEE86901X,0720331027,"4.900,00","2.976,00","3.922,00"
201516,BAEE869021,0720331034,"4.000,00","2.220,00","9.860,00"
201516,BAEE870014,0720330234,"5.900,00","3.900,00","23.200,00"
201516,BAEE870025,0720331574,"5.000,00","4.140,00","10.200,00"
201516,BAEE87101X,0720350236,"956,00","226,00","4.320,00"
201516,BAEE871021,0720350467,"1.085,00","711,00","1.450,00"
201516,BAEE87201Q,0720350240,"1.230,00","470,00","6.420,00"
