ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SCUOLABUS, TRASPORTIPUBBLICIURBANI, TRASPORTIPUBBLICIINTERURBANI, TRASPORTIFERROVIARI, MEZZIPRIVATI, TRASPORTODISABILI, ALTRO
201516,AGAA847067,0840274800,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGAA847067,0840274823,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGAA85001T,0840274797,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGAA85002V,0840274826,SI,NO,NO,NO,SI,SI,Non Comunicato
201516,AGAA853019,0840261160,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGAA85302A,0840261158,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGAA854015,0840302762,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGAA855011,0840014227,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGAA855022,0840014276,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGAA855022,0840014277,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGAA85805L,0840174154,NO,SI,NO,NO,SI,SI,Non Comunicato
201516,AGAA859018,0840174157,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGAA861018,0840174143,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGCT71000B,0840211778,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGCT712003,0840331019,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGCT712003,0840331020,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGCT712003,0840331023,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGCT71300V,0840091061,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGCT71400P,0840014237,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGCT71400P,0840014280,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGCT71500E,0840174143,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE01100C,0840111101,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE01102E,0840111103,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE01104L,0840111101,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE02400E,0840274812,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE02405Q,0840274812,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE02406R,0840274828,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE02407T,0840274827,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE02408V,0840274843,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGEE02604A,0840282297,SI,NO,NO,NO,SI,SI,SI
201516,AGEE02605B,0840282300,SI,NO,NO,NO,SI,NO,SI
201516,AGEE02800T,0840302756,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGEE028086,0840371164,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE034005,0840414278,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE034016,0840414278,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE03406B,0840414294,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE03407C,0840414314,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE035001,0840413406,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE035012,0840413406,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE805026,0840351112,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE805026,0840351113,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE80702T,0840144107,SI,NO,SI,NO,SI,SI,Non Comunicato
201516,AGEE80702T,0840144830,SI,NO,SI,NO,SI,SI,Non Comunicato
201516,AGEE80702T,0840144831,SI,NO,SI,NO,SI,SI,Non Comunicato
201516,AGEE80801L,0840383345,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGEE812029,0840151899,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE812029,0840151900,SI,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE81502R,0840111099,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE81701B,0840341114,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGEE818017,0840361147,SI,SI,SI,NO,SI,SI,Non Comunicato
201516,AGEE818028,0840361146,SI,SI,NO,NO,SI,SI,Non Comunicato
201516,AGEE820017,0840014025,NO,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE820028,0840014186,SI,SI,NO,NO,SI,NO,Non Comunicato
201516,AGEE820039,0840014273,NO,NO,NO,NO,SI,NO,Non Comunicato
201516,AGEE820039,0840014275,NO,NO,NO,NO,SI,NO,Non Comunicato
