ANNOSCOLASTICO, CODICESCUOLA, CODICEEDIFICIO, SPAZIDIDATTICI, AULAMAGNA, MENSA, PALESTRAPISCINA, SPAZIAMMINISTRATIVI
201516,CSAA871015,0780910287,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA871048,0780910290,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA871059,0780910284,Esiste,Non Esiste,Non Esiste,Non Esiste,Esiste
201516,CSAA87107B,0780910283,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA87108C,0780910291,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA872033,0780400144,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA872044,0780400147,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA872055,0780400148,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA872066,0780400149,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA872077,0780400154,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA87302T,0780581104,Esiste,Non Esiste,Esiste,Non Esiste,Esiste
201516,CSAA87304X,0780580212,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA873051,0780580573,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA87401L,0781050660,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA87402N,0781050312,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA87403P,0780780001,Esiste,Non Esiste,Esiste,Esiste,Esiste
201516,CSAA87404Q,0781050313,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA87405R,0780930315,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA87501C,0781040311,Esiste,Non Esiste,Esiste,Non Esiste,Esiste
201516,CSAA87502D,0780090051,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA87503E,0780090788,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA87504G,0780090447,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA876029,0780311433,Esiste,Non Esiste,Esiste,Esiste,Esiste
201516,CSAA87604B,0780311434,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA877025,0780760685,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA878032,0781420996,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,CSAA87901Q,0781020764,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA87902R,0781020300,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA87903T,0781020752,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA87904V,0781020753,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA88301B,0780030436,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA88305G,0780030035,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA88305G,0780031068,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA88306L,0780030037,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA88306L,0780031094,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA88404A,0780030050,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA88406C,0780030029,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA88407D,0780030031,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA88602X,0780440171,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA88701P,0780810267,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA88703R,0781120229,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA88704T,0781120230,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,CSAA88802G,0780810620,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA88901A,0780810617,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA89001E,0781020750,Esiste,Esiste,Esiste,Non Esiste,Esiste
201516,CSAA89002G,0781020751,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA89003L,0781020945,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA89004N,0781020947,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
201516,CSAA892016,0780250095,Esiste,Non Esiste,Esiste,Non Esiste,Non Esiste
201516,CSAA892038,0780250096,Esiste,Non Esiste,Non Esiste,Non Esiste,Non Esiste
